"stno","X2013.04.01","X2013.04.02","X2013.04.03","X2013.04.04","X2013.04.05","X2013.04.06","X2013.04.07","X2013.04.08","X2013.04.09","X2013.04.10","X2013.04.11","X2013.04.12","X2013.04.13","X2013.04.14","X2013.04.15","X2013.04.16","X2013.04.17","X2013.04.18","X2013.04.19","X2013.04.20","X2013.04.21","X2013.04.22","X2013.04.23","X2013.04.24","X2013.04.25","X2013.04.26","X2013.04.27","X2013.04.28","X2013.04.29","X2013.04.30"
"C0S830","0.6932","1.9242","0.6619","0.5955","0.4993","2.5999","0.9225","0.3913","0.699","0.3355","0.6428","0.4728","0.4999","1.3419","0.5822","0.4988","0.5796","-0.3536","0.6389","0.9998","2.1298","-0.4357","-0.3214","0.5999","0.9584","1.8369","0.5768","0.2998","0.2113","-0.6472"
"C0S840","1.0927","2.1534","2.2852","1.3753","-1.5912","1.8284","1.632","1.7901","1.7097","2.3959","2.8523","2.601","2.0683","1.9151","1.7809","-0.0942","-0.3859","-0.3871","1.0698","-0.9027","2.23","1.7397","-0.4093","-0.5263","1.6059","1.7552","1.5825","-0.3129","-0.2072","-1.307"
"C0T790","-0.3598","-0.3758","0.0314","-0.9539","-0.5788","-0.1187","-0.2927","0.1743","-0.089","-0.1604","-0.4724","-0.4782","-0.3169","-0.3299","-0.1706","-0.1413","-0.1604","-0.2023","-0.0244","-0.0349","-0.1151","-0.068","0","-0.2088","0.089","-0.3119","-1.0497","1.0998","-0.7456","-0.1917"
"C0T820","-0.0602","-0.515","-0.3694","-0.1368","-0.0454","-0.6157","-0.3936","-0.3346","-0.121","-0.0813","-0.0454","0","0","-0.0669","-0.5456","-0.3776","-0.1176","-0.2796","-0.3694","-0.4114","-0.4589","-0.3878","-0.2575","-0.3694","-0.5456","-0.0669","-0.0616","0.1463","-0.3776","-0.0423"
"C0T870","0.2971","-0.3961","0.3","0.2973","0.3654","-0.7","0.4806","-0.2998","0.4286","-0.1985","0.2877","-0.1176","0.0819","-0.4981","0.0209","0.399","0.2837","0.2517","0.2934","0.2877","-0.3277","-0.2911","0.1433","0.2571","-0.7878","0.4993","-0.2","-0.3951","0.3998","0.1888"
"C0T960","0.4999","0.2344","0.4951","0.6122","0.5977","1.0918","0.699","-0.5738","0.8995","0.5942","0.5985","0.4755","0.3913","0.6582","-0.0968","0.4286","0.4114","0.8607","0.6578","0.7922","0.8995","0.589","0.6","0.8999","0.8089","0.6535","-0.851","-0.3625","0.6962","0.7956"
"C0T9A0","0.4981","0.3812","-0.0695","-1.0382","-0.0907","0.6359","0.4243","-1.2287","-0.061","-0.2331","0.2121","-0.0052","-0.5456","0.4225","-0.0784","-0.6451","0.2869","-1.1032","0.1928","0.3078","0.1678","0.4592","-1.8124","-1.1321","0.1302","0.8345","-0.9899","-0.9948","-1.9416","-1.3577"
"C0T9B0","-0.1753","-0.649","-0.3","0.2339","0.293","-0.4","0.4698","0.1169","0.1145","0.589","-0.3857","-0.891","-0.3611","0.6973","-0.6157","-0.0366","0.1754","0.3694","-0.1545","-0.5926","-0.7999","-0.3595","0.7995","0.6474","-0.3355","0.9986","0.6871","0.2978","-0.4815","-0.2536"
"C0T9D0","-0.2463","1.0392","-0.5541","0.2099","-0.495","1.4501","-0.0941","-0.5248","-0.5456","0.9925","-0.6561","0.7518","-0.6022","-0.6947","0.4","-0.1254","0.851","-0.6022","0.856","-0.7461","1.1126","-0.5663","-1.1594","0.9994","0.7281","-0.5333","-0.4388","-0.5035","-0.219","-1.1468"
"C0T9E0","0","0.6688","0.2884","-0.0891","-0.3734","1.3577","0.3951","0","0.7364","1.3595","0.4997","0.7995","0","0.2364","0.1891","-0.0157","0.5926","-0.0697","1.4256","1.0462","1.8711","0.8933","-0.1935","0.9877","1.079","0.8426","-0.6472","-0.0209","-0.6761","0.3256"
"C0T9F0","-0.1075","0.5346","0.2939","-0.4635","0.7825","0.4769","0.3009","0.3178","0.2344","0.2364","0.5523","0.2868","0.2997","-0.4815","-0.5142","-0.5162","0.2237","-0.35","0.2396","0.318","0.1125","0.3268","-0.5905","-0.1812","0.1408","0.6364","0.4363","-0.1792","-0.3507","-0.495"
"C0T9G0","0.7518","1.9429","0.8918","0.431","0.6304","2.3019","0.9712","0.1658","1.3789","1.5358","1.2948","1.0566","0.2884","1.2257","0.7388","0.4684","0.5738","0.6792","1.1509","1.4863","2.5896","0.9063","0.2934","0.8045","1.6971","1.1692","0.1891","0.2973","0.5035","0.9962"
"C0T9H0","1.0625","2.0743","1.8513","-1.4489","-0.845","3.7681","2.608","-0.5665","2.3776","4.6936","1.25","3.6994","0.1046","1.1737","0.0332","-0.9992","1.8271","1.5978","2.1805","1.7607","4.2945","1.8858","-1.5606","2.2109","1.5657","2.5177","-0.6489","-0.4017","-1.1331","-1.618"
"C0T9I0","0.9235","-2.5522","-1.2216","-1.8271","-1.5128","3.1552","0.7718","-1.6168","-1.7539","1.3998","-1.4501","-1.2858","-1.4722","1.4387","1.5606","-1.9021","1.0893","1.3545","1.9167","1.609","2.4723","-1.4937","-2.2109","-1.699","1.6548","1.4555","-1.7976","-1.2361","-1.7932","-1.559"
"C0T9M0","0.0656","0.1486","0.0259","0.0684","-0.094","0.2934","0.1766","-0.2998","0.0326","0.1992","0.1454","0.1408","0.1545","0.1486","0.1176","0.0261","0.0276","-0.3","0.1","0.1981","0.1949","0.0777","-0.309","-0.9659","0.097","0.0309","0.1678","-0.1176","0.0853","-0.7193"
"C0U600","0.0717","0.4863","0.1169","0.2407","0.1147","0.9962","0.5202","0.3951","0.0813","-0.1498","0.3195","0.09","0.0968","0.8607","0.169","0.0968","0.1147","0.1939","0.35","0.2457","0.4592","0.0551","0.3756","0.2909","0.3812","-0.0618","0.3654","0.0515","0.3381","0.4"
