"stno","X2013.02.01","X2013.02.02","X2013.02.03","X2013.02.04","X2013.02.05","X2013.02.06","X2013.02.07","X2013.02.08","X2013.02.09","X2013.02.10","X2013.02.11","X2013.02.12","X2013.02.13","X2013.02.14","X2013.02.15","X2013.02.16","X2013.02.17","X2013.02.18","X2013.02.19","X2013.02.20","X2013.02.21","X2013.02.22","X2013.02.23","X2013.02.24","X2013.02.25","X2013.02.26","X2013.02.27","X2013.02.28"
"C0S710","1.5035","2.0493","0.9063","0.3939","-0.4636","0.6304","1.4004","5.5101","3.2627","1.6074","1.8651","1.6038","3.8483","1.3156","2.1571","3.2669","0.8693","0.5942","2.2517","4.0233","1.6776","2.1651","4.0623","2.5166","0.9119","0.397","1.807","1.722"
"C0S730","1.15","0.4871","1.9167","-1.9973","0.1361","2.5207","0.0558","12.4039","7.6587","3.2909","4.8214","4.7276","9.2661","3.101","4.3142","8.5512","1.7607","-2.5964","5.7321","10.6428","5.5161","5.6015","10.4953","2.8887","2.3461","-1.9799","3.9712","2.758"
"C0S740","0.5664","1.0239","0.8549","-1.6569","-1.8928","1.1852","1.3753","3.0001","1.7798","0.8866","0.9994","1.0566","2.0128","1.0517","1.6286","1.9605","-0.9998","-0.9811","1.4923","2.1751","1.5762","1.6564","2.5364","1.5035","0.5071","-0.9621","1.2778","0.803"
"C0S750","-0.061","-0.0877","0.0052","-0.1378","0.0349","-0.1035","-0.0209","-0.0314","-0.0382","0.0313","0.0349","0.1336","0.0488","0.0782","-0.014","0.0766","0.007","0.1812","-0.1125","-0.0278","0.0347","0.1075","-0.014","-0.0977","0.0518","0.2923","0.2194","0"
"C0S760","-1.1476","0.5563","-0.424","0.4455","-0.7878","-0.4792","-0.7794","0.7564","-0.589","0.866","-0.3536","-0.5248","0.4568","-0.5673","-0.6694","-0.4193","0.9119","-0.6729","-0.8457","-0.5734","1.0049","-0.4415","-0.2925","-0.3532","0.7364","-0.5393","-0.1462","-0.4373"
"C0S770","0.8302","1.6286","0.8345","0.2025","0.2177","0.9899","0.2205","1.7046","1.5844","1.538","1.2276","0.219","2.0506","0.8387","0.2972","2.0377","0.9526","-0.2997","0.614","1.9682","1.5282","1.1698","2.1213","1.6971","1.283","-0.1575","1.1594","1.2981"
"C0S790","0.0105","0.1992","0.0139","0.15","0.0366","0.2","-0.2331","0.6","0.0518","0.05","0.0982","0.0035","0.3998","0.0407","0.4908","0.3","0.0454","0.007","0.3178","0.4","0.0906","0.2993","0.4999","0.1999","0.0423","0.0438","0.397","0"
"C0S810","1.9053","1.0998","-0.7548","1.3715","-1.6907","1.8124","1.9425","2.6847","1.9734","1.5407","1.4722","2.2317","2.0493","0.7641","2.2049","2.0082","1.5588","1.2434","2.5207","2.1429","1.4772","2.0991","2.5377","1.7607","1.3753","0.9405","1.8858","1.0231"
"C0S830","0.6932","0.9998","0.3951","-0.6128","-0.8899","1.4616","1.088","2.0353","0.7641","0.9584","1.1692","1.2721","0.809","0.4999","1.2944","0.9526","0.589","-0.5119","1.7092","1.1143","0.2924","1.741","1.1607","1.2474","0.4891","-0.8192","1.3106","0.765"
"C0S840","1.9897","2.7851","0.2316","0.7452","-0.4386","0.1674","0","3.3642","1.8284","1.9505","2.0808","1.9167","3.6981","1.2778","1.9917","3.0732","1.7336","-0.3145","2.2981","3.4528","3.1863","1.7619","4.1616","2.6329","1.8868","-0.3387","1.9429","1.324"
"C0T790","-0.2605","-0.4961","-0.3473","0.1877","-0.4389","1.2257","-0.1877","-0.2661","0.1047","0","0.1568","-0.6303","-0.5237","-0.2681","-0.4341","-0.0314","-0.3534","0.195","-0.1395","0.089","-1.0181","-0.43","-1.1128","0","-0.0227","-0.0523","0.1569","0.0419"
"C0T820","-0.0602","-0.1286","-0.0656","-0.0813","-0.1259","-0.0717","-0.1678","-0.2877","-0.1554","-0.1364","-0.1231","-0.1928","-0.2364","-0.1439","-0.2925","-0.1968","-0.1509","-0.1486","-0.2828","-0.1749","-0.1721","-0.2427","-0.1204","-0.05","-0.2121","-0.1677","-0.2084","-0.2158"
"C0T870","0.4806","0","-0.0438","0.2954","0.3657","0.4908","0.8889","-0.2431","0.3978","0.1995","0.3881","0.725","-0.1172","0.2954","0.318","-0.2923","0.1634","-0.3734","-0.4782","-0.1678","0.2298","-0.4938","0.7518","-0.094","-0.3998","-0.483","0.3355","-0.1949"
"C0T960","0.4086","0.7064","0.1634","0.2939","0.8951","1.2667","0.9613","1.284","0.5871","0.5999","0.7795","0.8899","0.5523","-0.1103","0.8769","0.6237","0.4915","-0.5673","1.0985","0.7308","0.3392","0.6444","0.7518","0.2978","-0.206","0.2724","0.6304","0.2782"
"C0T9A0","-1.2276","0.2463","-1.2245","-1.5825","-1.0566","-0.6151","-1.0064","0.1462","0.1847","0.3759","0.6444","0.4659","-0.0629","-1.1607","0.2779","-0.3078","-0.8356","-2.0923","0.3746","0","0.2192","0.3914","-0.0469","0.35","-1.3789","-2.3776","0.263","0.0419"
"C0T9B0","-0.9193","-0.0279","0.4988","0.1953","0.8607","-0.3945","0.6973","-0.2735","-0.4592","-0.1812","-0.6062","-0.5541","-0.5393","-0.6395","-0.4769","0.1095","0.1812","0.4881","-0.2509","-0.3394","-0.2847","-0.5119","-0.7461","0.6729","0.7995","0.6729","0.2205","-0.3611"
