"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"C0AD40","1.189","0.4036","1.705","1.6989","0.6389","0.397","0.1325","1.0489","-0.0419","-0.121","2.192","1.8657","0.7417","0.4728","0.9992","0.3201","0.5806","0.8186","1.847","1.9092","0.3595","0.3392","0.9336","0.8","1.6851","0.2681","1.9015","0.1408","2.2553"
"C0AD50","0.8467","0.8968","1.4651","0.3345","0.6947","0.1097","3.091","0.8548","0.5119","1.3991","1.2128","0.8023","1.0199","0.1045","2.3985","2.6963","2.1384","0.6772","1.2683","0.9148","-0.3507","0.662","-0.5017","0.2952","0.8541","1.2713","1.2572","0.4678","0.9271"
"C0C460","0.2351","1.0912","0.309","-0.0262","-0.2723","-0.2781","0.6356","0.3801","-0.1854","0","0.6973","-0.2756","0.433","-0.3371","0.3392","1.0239","1.3164","0.9009","0.6536","-0.2279","-0.121","-0.0209","0.1035","-0.4373","0.7092","1.3808","0.9903","0.3595","-0.1145"
"C0C480","-0.7042","-0.7867","-0.8948","-0.8948","-0.0557","-0.0618","0.3536","-0.4121","-0.8242","-0.0602","-0.6787","-0.892","0.0349","-0.0052","0.0695","-0.1532","-0.1989","-0.4686","-1.0489","-1.5029","-0.0347","-0.0572","-0.0572","0.2194","0.2457","0.0927","-0.3708","-0.159","-0.7512"
"C0C540","0","0.3019","0.0731","0.0574","0","0","0.2457","0.4243","0.1928","0","0.1","0.215","0","0","0","0.0743","0.0819","0.4459","0.3147","0.3078","-0.0052","0","0","0","0.0819","0.0777","0.0777","0","0.0602"
"C0C590","2.0478","2.9578","1.6458","1.2044","1.0777","1.0199","4.1877","2.8774","1.3766","1.9242","3.2766","1.749","1.1984","0.9877","0","3.1177","3.9418","3.4788","2.5586","1.1635","0.9744","1.1644","1.4184","2.4666","3.4672","4.2381","3.7967","3.0323","2.2215"
"C0C630","2.0506","4.1722","3.7157","0.7042","1.2998","1.279","3.3552","3.9598","1.4059","1.6835","3.0717","-0.6432","0.8004","0.8045","2.9708","3.4979","3.3706","2.8801","4.5344","1.5733","0.5541","0.9986","1.1993","2.0949","3.8661","3.2174","3.8302","-0.7107","2.0808"
"C0C650","2.6239","4.1765","3.3775","-0.6101","1.1993","-0.6364","4.5677","3.9547","2.2936","1.5961","3.5453","-0.8947","0.8607","0.794","2.6308","4.6364","4.8221","3.182","4.5033","1.1128","-0.0696","0.7999","1.0998","2.2968","4.0601","4.8063","4.2798","1.7357","1.9184"
"C0D360","0.2819","0.3473","0.1414","0.1075","0.1118","0.1981","0.4981","0.1805","0.0719","0.3998","0.2677","0.1805","0.1841","0.2837","0.212","0.212","0.2719","0.2853","0.1627","0.2294","0.0781","0.212","0.2884","0.3","0.3913","0.2158","0.1312","0.1902","0.1805"
"C0D390","-0.1103","-1.1684","-0.5706","-0.2457","0.3881","-0.0557","-0.7281","-0.3216","-0.1847","0.1089","-0.589","0.1247","-0.2084","0.0105","-0.4728","-0.6292","-0.682","-1.0692","-0.797","0.1035","0.1302","0.1873","0.045","-0.0105","-0.7727","-0.6784","-0.5393","-0.2696","0.244"
