"stno","X2018.02.01","X2018.02.02","X2018.02.03","X2018.02.04","X2018.02.05","X2018.02.06","X2018.02.07","X2018.02.08","X2018.02.09","X2018.02.10","X2018.02.11","X2018.02.12","X2018.02.13","X2018.02.14","X2018.02.15","X2018.02.16","X2018.02.17","X2018.02.18","X2018.02.19","X2018.02.20","X2018.02.21","X2018.02.22","X2018.02.23","X2018.02.24","X2018.02.25","X2018.02.26","X2018.02.27","X2018.02.28"
"C0D390","-0.2298","-0.2598","-0.3498","-0.2194","0","-0.2544","0.0574","0.0766","0","-0.0707","-0.007","0.0105","0","-0.1932","-0.1956","-0.0682","0.1454","-0.0966","-0.1638","-0.2396","0.1147","-0.3","0.0707","-0.0966","0.0087","0.1928","-0.1891","0"
"C0D480","0.559","0.4596","0.544","0.4045","0.2762","0.5796","0.3961","0.3625","0.0035","0.328","0.4663","0.4806","0.1891","0.0349","0.0278","0.0832","0.4603","0.0261","-0.3654","0.1124","0.3078","0.7064","0.3995","0.0469","0.2179","0.4568","-0.2782","-0.1454"
"C0D540","1.8579","1.3896","2.3396","1.5606","2.0206","2.6289","0.8019","0.7092","0.2113","0.9811","2.2537","1.283","0.4193","0.1294","0.0419","0.104","1.1115","0.0696","0.135","0.6914","1.1657","1.1115","1.0595","0.1368","0.8549","1.2434","0.2984","-0.4999"
"C0D550","0.318","0.2516","0.1103","0.1463","0.0875","-0.0602","0.3564","0.3605","0.0438","0.0998","0.1878","-0.1389","0.0209","0.122","0.0927","0.0832","0.2984","0.3625","0.169","0.25","0.1236","0.1816","0.3657","0.1753","0.1891","0.0278","0.2121","0.2622"
"C0D560","1.3421","1.0324","1.4539","1.6249","1.0598","1.3777","0.9429","0.5905","0","0.0585","1.2931","1.0497","0.3857","0","0.293","0.4659","0.9031","-0.5299","0.8785","0.7042","1.1698","0.3299","0.7949","0.5202","0.671","0.225","0.3399","0.4988"
"C0D570","0.1584","0.0576","0.1568","0.2257","0.1216","0.3371","0.007","0.0832","0.0209","0.1341","0.2419","0.1219","0.0418","-0.3776","0.4663","0.0349","0.0523","-0.4815","0.007","-0.0175","0.2287","0.0959","0.1389","-0.0609","0.135","0.1812","0.4092","0.0627"
"C0D580","0.0951","0","-0.0052","0.0951","0.094","0.1963","0","0.0891","0","0","0.0839","0.1975","-0.1879","-0.0946","-0.099","0","0.0927","-0.0848","-0.0946","0","0","0","0.0996","0","0","0.0998","-0.097","0.0755"
"C0D590","3.2725","3.1491","3.3983","3.2787","1.9284","3.1372","2.2962","2.4313","1.3121","2.7705","3.3425","2.764","1.2465","0.2724","0.8529","1.9682","3.1491","0.5494","0.7388","2.4426","3.3354","3.6639","2.4426","1.2713","2.4543","3.1491","0.7364","0.6364"
"C0E420","2.3316","1.9607","2.55","2.3316","2.1212","2.648","0.9351","1.2213","0.5333","1.5029","2.3692","2.1064","0.2472","0.0558","0.1935","0.1672","1.8017","0.1046","0.2344","0.1047","2.0137","2.2369","1.4339","0.1095","1.6362","1.6427","0.0314","0.5202"
"C0E430","0.0663","0.1133","0.1465","0.1047","0.1584","0.0209","0","0","0","0.0209","0.1186","0.0279","0","0","-0.014","0","0.0105","0","0","0.0105","0.0035","-0.0035","0.0052","0.0139","0.0105","0.0244","-0.007","0.0035"
