"stno","X2012.02.01","X2012.02.02","X2012.02.03","X2012.02.04","X2012.02.05","X2012.02.06","X2012.02.07","X2012.02.08","X2012.02.09","X2012.02.10","X2012.02.11","X2012.02.12","X2012.02.13","X2012.02.14","X2012.02.15","X2012.02.16","X2012.02.17","X2012.02.18","X2012.02.19","X2012.02.20","X2012.02.21","X2012.02.22","X2012.02.23","X2012.02.24","X2012.02.25","X2012.02.26","X2012.02.27","X2012.02.28","X2012.02.29"
"C0T9A0","0.3429","0.3657","0.2516","0.6914","1.0903","0.9397","0.7518","-0.4528","-0.1462","1.3377","0.2911","0.9992","1.3616","1.4387","-0.9119","0.2084","0.2869","0.3985","0.1867","0.1026","0.9031","1.0988","0.431","0.2158","0.2696","0.2877","0.3464","-1.1181","-0.2958"
"C0T9B0","0.8693","0.544","-0.3605","-0.851","0.0959","-0.8345","0.9959","-0.5248","-0.5955","0.6474","0.5785","0.7873","0.4589","0.1498","0.1871","0.4999","-0.5869","0.5977","0.1553","0.4568","-0.3939","0.5664","0.4684","-0.2817","0.6128","-0.1336","-0.495","-0.1247","0.1847"
"C0T9D0","0.0105","0.2072","0.0868","0.3611","0.135","0.6894","0.8875","0.5244","-0.2298","0.0836","0.2605","0.0384","0.7092","0.0872","0.6157","0.6356","0.6915","0.9206","0.1563","0.1923","0.5942","0.2661","0.4213","-0.1627","0.1935","0.0174","0.1247","0.0523","0.1879"
"C0T9E0","0.1948","1.4528","0.3216","0.5244","0.8241","0.1545","1.589","0.3742","0.0087","0.4695","0.3126","0.0244","-0.6062","-0.121","0.8479","0.8616","0.7891","0.8241","0.2079","0.0209","-0.3914","-0.3605","0.3907","0.8479","1.1658","0.6","0.0279","-0.3708","0.0684"
"C0T9F0","0.8402","0.7064","0.4728","0.4474","-1.2","0.856","1.1258","-0.8","-0.2781","1.0269","0.4915","1.1276","1.2557","-0.5523","0.7727","0.383","0.6","0.725","-0.8912","0.0939","0.0975","0.061","-0.1873","0.1236","0.3195","-0.3951","-0.6914","-0.7518","0.1124"
"C0T9G0","0.736","1.3383","0.1414","0.3536","0.5657","0","1.1809","1.0037","0.0643","0.1805","0.6428","-0.2331","0.0669","0","0.7502","1.023","1.157","1.0037","0.4213","0.2194","0","-0.0799","0.2237","0.4092","1.0037","0.6691","0.1089","0.4863","0.0731"
"C0T9H0","-1.847","3.0756","-1.386","-0.499","2.5937","0.7185","1.0593","1.1238","1.7975","0.4168","0.4732","1.9856","1.9605","1.3435","0.3479","0.712","0.7823","0.5606","2.6198","0.5209","0.3286","1.8124","0.4158","2.3615","0.5289","0.6488","2.2406","2.4692","0.2495"
"C0T9I0","-0.7524","0.7167","-0.5917","1.7046","-0.879","-0.9786","1.8173","-0.9925","-0.8425","-0.6074","1.0816","-1.5606","-0.7182","-0.4113","0.9298","0.8987","-1.0725","0.1656","-0.6536","-0.892","-0.7118","-1.15","1.3989","-0.8004","0.9318","-0.708","-0.9506","1.1743","-0.6356"
"C0T9M0","0.0602","-0.0122","0","0.0545","0.0974","0.2052","0.0105","0","-0.0777","0.5936","-0.0358","0.3109","0.2934","0.3078","0.0675","0","0","-0.0755","0","0.0616","-0.0669","0.7128","0","0","0","0","0","0.0717","-0.0809"
"C0U600","0.2624","0.8899","-0.1763","-0.483","0.5088","0.4854","0.5829","-0.0877","-0.1813","-0.5162","0.2673","0.3346","0.3429","0.6857","0.2163","0.5803","-0.7469","-0.1169","-0.0262","0.0157","-0.4924","0.5755","0.3464","0.1678","0.5657","0.1696","-0.1963","0.6157","-0.0347"
