"stno","X2017.06.01","X2017.06.02","X2017.06.03","X2017.06.04","X2017.06.05","X2017.06.06","X2017.06.07","X2017.06.08","X2017.06.09","X2017.06.10","X2017.06.11","X2017.06.12","X2017.06.13","X2017.06.14","X2017.06.15","X2017.06.16","X2017.06.17","X2017.06.18","X2017.06.19","X2017.06.20","X2017.06.21","X2017.06.22","X2017.06.23","X2017.06.24","X2017.06.25","X2017.06.26","X2017.06.27","X2017.06.28","X2017.06.29","X2017.06.30"
"467990","-2.9876","0.3994","0.4168","1.6","0.3126","-2.8283","-2.2981","1.607","-0.2778","-1.9495","-3.3425","1.9696","2.913","3.6373","2.5279","1.45","0","1.1287","-2.2498","-3.6639","-2.45","-4.8209","-4.1781","-3.85","-2.702","-2.55","1.0285","1.1818","-1.7854","0.5383"
"C0A520","-1.3315","-1.1476","0.1816","-0.5706","-0.4993","-0.5955","-0.3381","0.7986","-0.3605","-0.7853","0.6894","0.4974","0.4663","0.342","1.1491","0.3734","1.0392","0.4863","0.2649","-0.8995","-0.5985","0.6932","-0.8","-1.0126","-1.2667","1.1971","-0.8999","0.3527","-0.4999","-0.4494"
"C0A530","0.1042","0.1247","0.159","-0.309","0.0279","0.2424","-0.0763","0.0782","0.2034","0.2575","0.0418","0.0157","0.3632","0.1294","1.0495","0.0518","0.1678","0.4596","0.0877","0.0418","0.1854","0.0262","0.5","-0.0954","0.1362","0.0609","0.061","0.0626","0.1362","0.1939"
"C0A540","0.0572","0.0105","0.0839","-0.0777","0.0875","0.0454","-0.0899","0.0225","0.0961","0.0995","0.1923","0.1364","0.0956","0.0087","0","0","-0.0993","0.097","0.0259","0","0.0469","0.1312","0.0139","0.1989","0.0375","0.099","0.0883","0.0469","0.106","0.0585"
"C0A550","0","0","0","-0.1618","0","0","0","0","0","0","-0.094","0","0","-0.197","0","0","-0.0993","0","0","0","0","0","0","-0.1923","-0.1992","0","-0.0993","0","0","0"
"C0A560","0.328","0.4096","0.0209","0.0157","0.0262","0.0087","0.0523","0.2723","0.0366","-0.0763","0.2344","0.0675","0.1368","-0.0585","0.0819","-0.1696","-0.1486","0.2179","0.0276","0.0675","-0.1888","0.3694","0.25","0.318","-0.25","0.25","0.2279","0.014","0.215","0.0763"
"C0A570","0.8912","0.2516","0.1766","0.4455","-0.3064","0.5601","0.4096","0.1749","0.589","0.0487","0.1989","0.4698","0.4997","0.3881","-0.1696","0.094","0.397","0.2993","0.1841","0.2954","0.4636","0.483","0.4782","0.2945","0.4851","0.4993","0.6821","0.3985","0.6894","0.2954"
"C0A640","-0.1902","0.0927","0.0788","-0.0993","0.0848","-0.0857","-0.0518","0.0326","-0.0899","-0.0966","-0.1841","-0.0052","0","0.2911","0","0.0951","0.0921","0","-0.097","-0.2457","-0.1813","-0.0656","0.3825","0.1854","-0.0209","0.0891","0.1696","0.0978","0.0766","0"
"C0A650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25","0.2347","-0.5851","0.1147","-0.2158","0.412","0","0.2331","0.106","0.0827","0.1408","0.2463","-0.5035","-0.0974","0.2034","-0.4915","0.0927","0.2279","0.1878"
"C0A660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.1968","0.0868","0.2782","0.1847","0.2958","0","0","-0.05","0.1","0.1816","0.0487","0.1753","0.0557","0.0954","0.2728","0.4015","0.0609","0.0968"
"C0A860","-2.6143","-0.8817","0.3746","0.4446","0.3268","0.7726","0.7949","0.6883","0.309","-0.8388","1.079","-1.1472","1.1314","-2.5276","0.6536","0.8893","1.0489","-0.7726","-1.5487","-2.1809","-1.1437","0.45","-1.0065","-1.9607","-4.5295","-2.4509","-1.7894","0.6466","0.6151","0.6466"
"C0A870","-6.5358","0.1727","0.6074","-4.7737","-3.1981","-2.8139","-4.09","0.7416","-2.8978","-3.8947","-3.8905","0.3139","0.6101","0.2617","3.943","-6.6745","-6.3806","4.4995","-4.7744","-5.9291","-4.1228","-2.4996","-3.7489","-5.1494","-8.6352","-5.8335","-5.0721","-2.5901","-2.1172","0.7488"
"C0A880","0.3812","0.1433","0.1176","-0.8733","0.0954","-0.2756","0.0314","0.4474","0.6018","1.364","0.6923","0.544","0.5202","-0.9511","0.1045","0.3759","0.817","-0.1992","0.0523","-0.3825","-0.5738","0.2329","0.0314","-0.9063","0.5162","0.0175","0.7128","-0.9397","0.662","-0.1254"
"C0A890","0.0242","-0.0559","0","-0.1782","0","-0.0469","0.0358","0","0","0.0208","-0.0899","0","0","-0.1981","0","0","-0.0951","0","0","0","-0.0375","0","0","-0.0656","-0.1981","0.0105","0","0","0.0416","0.0208"
"C0A920","-3.2076","1.3828","1.2903","1.2951","0.7771","-0.9945","-1.5564","1.6914","-1.4095","-1.7778","-1.6804","-1.5752","0.7042","0.2927","1.6835","-2.0186","2.3476","2.2517","-1.8542","-2.8512","-1.6961","0.4558","-1.8126","-2.2672","-4.4041","-3.091","-2.3369","-0.5416","-1.1535","0.122"
"C0A940","0.0471","0.1871","0.1782","0.1145","0.0682","-0.4286","0.3464","0.4981","0.2868","0.1125","0.328","0.4243","0.3355","0.2194","0.227","0.0609","0.9456","0.1498","0.4815","1.3896","0.2782","0.1176","0.3936","0.4592","1.9602","1.1583","0.2344","0.3864","0.1042","0.2973"
