,stno,name,Lon,Lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
60,C0AD50,鶯歌,121.3463,24.9515,3.98,5.1,4.33,4.61,7.2,10.68,7.03,9.1,5.06,4.27,3.68,3.53
61,C0C460,復興,121.3523,24.8202,4.31,5.42,4.95,7.33,10.23,17.2,10.76,15.84,12.35,6.31,3.91,3.77
62,C0C480,桃園,121.3232,24.9924,4.23,4.97,4.37,5.33,8.71,9.79,4.56,8.53,4.75,3.81,2.82,3.24
63,C0C540,大園,121.226,25.0478,4.36,4.79,4.07,4.89,7.63,9.53,1.89,6.51,2.78,2.29,3.15,2.91
64,C0C630,大溪,121.2655,24.8829,4.15,4.69,4.67,5,7.26,10.29,5.96,10.16,4.57,3.36,3.69,3.48
65,C0C650,平鎮,121.2146,24.8975,4.39,4.89,4.9,5.31,7.81,9.68,5.1,8.5,4.97,3.62,4.07,3.66
66,C0D360,梅花,121.2086,24.6783,3.58,4.65,4.99,6.68,10.55,11.68,11.24,14.5,8.08,3.88,3.23,3.1
67,C0D390,關西,121.1739,24.7982,4.15,4.74,4.64,5.87,8.73,9.94,7.59,11.94,6.45,3.02,3.33,3.17
68,C0D480,打鐵坑,121.1508,24.8497,4.3,4.74,4.92,5.25,7.92,9.47,4.72,9.93,6.19,2.88,3.65,3.32
69,C0D540,橫山,121.1169,24.7112,4.12,4.62,4.7,5.95,9.36,9.88,9.44,12.43,5.25,2.1,3.22,2.84
70,C0D550,雪霸,121.1161,24.527,5.18,5.41,5.49,7.29,10,11.69,11.24,9.49,7.38,3.07,3.96,3.93
71,C0D560,竹東,121.0579,24.7671,3.67,4.1,4.35,5.12,7.13,7.9,4.97,8.71,3.73,1.58,2.88,2.43
72,C0D570,香山,120.9055,24.7469,3.31,3.44,3.6,5.37,7.5,7.51,3.23,6.68,2.44,1.18,2.7,2.04
73,C0D580,寶山,121.0252,24.735,4.21,4.67,4.79,5.37,8.58,8.42,5.49,9.51,4.56,1.77,3.42,2.85
74,C0D590,新豐,120.9772,24.8707,3.71,3.96,4.08,4.69,7.76,7.84,2.39,6.7,3.1,1.62,3.23,2.56
75,C0E420,竹南,120.8889,24.709,2.98,3.16,3.25,4.42,7.97,7.83,3.65,6.39,2.61,1.02,2.62,1.81
76,C0E430,南庄,121.0002,24.6018,4.39,4.89,5.23,6.89,9.82,10.78,11.83,12.96,8.29,1.97,3.21,2.92
77,C0E610,馬都安,120.9302,24.4513,3.02,3.49,4.26,5.76,8.64,11.4,9.04,11.8,4.98,1.22,2.77,2.1
78,C0E730,頭份,120.9122,24.6882,3.17,3.36,3.56,4.58,8.17,7.95,4.27,6.83,2.48,1.08,2.74,1.9
79,C0H9A0,神木村,120.8437,23.5327,3.38,2.63,3.3,5.96,13.76,21.43,15.72,15.7,7.94,2.49,3.29,2.53
80,C0O930,玉井,120.4606,23.126,1.08,0.6,0.8,2.39,7.74,13.91,15.13,20.39,10.57,1.68,1.31,0.49
81,C0R280,檳榔,120.8368,22.0761,3.43,3.55,2.24,2.72,8.59,14.28,16.74,24.36,13.98,10.61,5.08,3.22
82,C0R350,貓鼻頭,120.7358,21.9218,0.58,0.68,0.29,1.47,4.95,9.08,10.73,18.48,11.16,4.69,0.8,0.65
83,C0R420,牡丹池山,120.8406,22.1678,3.77,3.82,3.13,3.56,7.67,15.45,14.91,18.98,13.98,12.63,5.39,3.6
84,C0S690,太麻里,120.9853,22.609,1.85,1.99,1.46,3.16,5.19,10.54,7.83,9.45,11.48,9.52,5.57,1.62
85,C0S700,知本,121.0056,22.6849,2.16,2.33,2.09,3.59,6.57,11.19,9.46,12.67,16.91,12.52,5.76,1.93
86,C0S710,鹿野,121.123,22.9177,1.66,1.41,1.55,2.27,5.52,8.25,8.22,9.84,14.28,11.12,4.43,1.64
87,C0S730,綠島,121.4753,22.6672,5.63,7.4,4.21,4.02,5.37,7.49,7.87,7.51,9.29,11.34,9.55,5.9
