day,PP01,PS01,TX01,WD_u,WD_v
36,-0.701821994,1.154196186,-1.560668447,0.9610472,0.438481728
37,-0.666037375,1.087374181,-1.514331079,0.895945033,0.543457254
38,-0.748426486,0.995649595,-1.519511018,0.931747308,0.606406495
39,-0.500359766,1.040177827,-1.567976776,0.978752483,0.47888468
40,-0.496380669,1.10261222,-1.544897843,0.96543435,0.709037207
41,-0.941249168,1.1063476,-1.509253714,0.922894667,0.496921712
42,-0.66407508,1.049130896,-1.452659043,0.697661537,0.381665078
43,-0.835448793,1.073914922,-1.460993102,0.862649701,0.774872374
44,-0.916993028,0.954323115,-1.299184142,0.332117961,0.357134714
45,-0.969675183,0.835324226,-1.175429777,0.466082709,0.012627405
46,-0.490929851,0.815046391,-1.21204835,0.605296368,0.517664298
47,-0.77897832,0.835442828,-1.213176653,0.524369126,0.328996945
48,-0.623357471,0.922661247,-1.226126498,0.659117294,0.52974911
49,-0.543748276,0.970272651,-1.260334605,0.67259211,0.599011312
50,-0.083426709,0.961497451,-1.318442229,0.867193534,0.702724246
51,-0.170094712,1.078243244,-1.404577933,1.109113501,0.664305368
52,-0.498397472,1.140321876,-1.387679026,0.754302773,0.683604992
53,-0.694981217,0.96072664,-1.18686667,0.421506135,0.251257337
54,-0.67800192,0.850147214,-1.091807111,0.498202912,-0.008115182
55,-0.650666068,0.931258555,-1.20607347,0.869857161,0.793270146
56,-0.495263251,0.98373191,-1.292619467,0.775846811,0.79561496
57,-0.427591348,1.026777857,-1.301030456,0.80898546,0.5638391
58,-0.337652853,1.0030018,-1.270438049,0.784464427,0.658172777
59,-0.588553999,0.886789636,-1.177481237,0.517475033,0.450205799
60,-0.811601465,0.885485196,-1.207996715,0.790731783,0.509367264
61,-0.846677478,0.931436447,-1.272233077,0.72139915,0.384370633
62,-1.054244622,0.848605617,-1.193918566,0.749132204,0.461749499
63,-1.113086201,0.802239339,-1.18214831,0.447202297,0.17405884
64,-1.059613677,0.776862395,-1.127040948,0.250328956,0.023269254
65,-0.994558166,0.829987958,-1.155838327,0.455271519,0.32665213
66,-0.714958465,0.89710641,-1.229357549,0.685205166,0.415935438
67,-0.919282372,0.919340893,-1.16978826,0.500631512,0.216085125
68,-1.030124753,0.941753245,-1.142811552,0.612895538,0.170271064
69,-0.275322751,0.961260269,-1.174455333,0.594876888,0.364529897
70,-0.718038177,0.841372014,-1.053214007,0.325850604,-0.003064813
71,-0.553178191,0.696640444,-0.926818386,0.316449569,-0.019839253
72,-0.897969674,0.65738919,-0.828066198,0.226669685,-0.362542859
73,-1.233004193,0.685137809,-0.811244221,0.147074256,-0.435953579
74,-1.050456303,0.586594624,-0.692413362,0.064736858,-0.236644376
75,-0.675767084,0.541473473,-0.705106774,0.208964402,0.013529256
76,-0.760663572,0.572838893,-0.69295187,0.293965427,0.301580656
77,-0.638374474,0.471746189,-0.660282359,0.126000269,0.106419971
78,-0.371693211,0.345395095,-0.624176651,0.208572693,-0.139605145
79,-0.828389984,0.313970385,-0.636075123,0.342772467,-0.262076591
80,-1.075339287,0.421822376,-0.689669533,0.406229453,-0.049419985
81,-0.822012527,0.401781723,-0.671847468,0.370427178,0.140690331
82,-0.514177589,0.475600148,-0.689669533,0.371680649,0.130589594
83,-0.748017675,0.54811418,-0.730108951,0.289343251,0.001083704
84,-0.291266393,0.62928481,-0.818860269,0.56933741,0.197146241
85,-0.922007781,0.714131554,-0.83886201,0.463262398,0.3547899
86,-0.658624262,0.592820281,-0.647768449,0.33250967,0.023629994
87,-0.818169701,0.491608974,-0.575249314,0.230430099,-0.169185877
88,-0.798464994,0.474829361,-0.593738103,0.327887495,-0.048878874
89,-0.912441595,0.451586932,-0.554939853,0.169558398,-0.122469964
90,-0.804133845,0.412691416,-0.547887957,0.269601078,0.156382549
91,-0.366324155,0.314504014,-0.517654556,-0.00036531,-0.477619123
92,-0.937542612,0.331105736,-0.504909856,0.247743672,0.092170716
93,-0.466537441,0.295352704,-0.467880991,0.029404634,-0.129865147
94,-0.504883945,0.309167724,-0.451238516,0.060114682,-0.016592587
95,-0.806641221,0.290490776,-0.369385236,-0.069227891,-0.271275477
96,-0.434731919,0.196157334,-0.343280399,-0.234764448,-0.48771986
97,-0.830270516,0.230843108,-0.410876028,-0.030448622,-0.200570312
98,-0.920617822,0.224973211,-0.334151399,-0.119680112,-0.409258772
