"stno","2012-06-01","2012-06-02","2012-06-03","2012-06-04","2012-06-05","2012-06-06","2012-06-07","2012-06-08","2012-06-09","2012-06-10","2012-06-11","2012-06-12","2012-06-13","2012-06-14","2012-06-15","2012-06-16","2012-06-17","2012-06-18","2012-06-19","2012-06-20","2012-06-21","2012-06-22","2012-06-23","2012-06-24","2012-06-25","2012-06-26","2012-06-27","2012-06-28","2012-06-29","2012-06-30"
"C0A9C0","1004.7","1002.3","1000.5","999.3","1000.4","1000.3","1000.3","1000.7","999.1","996","994","994.8","998.6","998.1","997.4","1001.1","1001.2","998.3","995.8","994.6","1001.8","1003.2","1001.6","1001.9","1002","1002.3","1003.4","1001.6","1000.4","1004.4"
"C0A9E0","1006.9","1004.4","1002.8","1001.5","1002.6","1002.5","1002.5","1002.8","1001.1","998.1","995.9","996.9","1000.8","1000.3","999.6","1003.2","1003.2","1000.4","997.9","996.8","1003.9","1005.3","1003.7","1004","1004.1","1004.4","1005.5","1003.6","1002.4","1006.5"
"C0A9F0","1005.5","1002.9","1001.2","999.9","1001.1","1001","1000.8","1001.1","999.5","996.4","994.1","995.4","999.3","998.8","998","1001.6","1001.8","998.7","996.3","995.2","1002.4","1003.8","1002.1","1002.4","1002.6","1002.8","1003.9","1002.2","1000.9","1004.9"
"C0AC40","890","888.5","886","886.1","887.1","887.8","888.2","888.5","886.9","884.1","881.6","882.2","885.3","885.5","885.2","888.2","888.6","886","883.6","882.2","888.2","890.3","889.1","889.4","889.5","889.7","890.8","888","887.8","891.8"
"C0AC60","1002.5","1000.4","998.7","997.5","998.5","998.2","998.3","998.6","997","994","991.8","992.9","996.3","996.2","995.6","999.3","999.2","996.4","994","993","1000.1","1001.3","999.6","999.8","999.9","1000.2","1001.4","998.7","998.1","1002.4"
"C0AC70","1001.3","998.7","997.1","995.8","996.9","996.9","996.7","997","995.4","992.3","989.9","991.3","995.1","994.7","993.9","997.5","997.6","994.6","992.2","991.2","998.3","999.6","998","998.3","998.4","998.7","999.8","998","996.7","1000.8"
"C0AC80","1005.9","1003.3","1001.7","1000.3","1001.5","1001.4","1001.3","1001.7","1000","996.9","994.6","995.9","999.7","999.3","998.7","1002.1","1002.2","999.2","996.8","995.7","1002.7","1004.1","1002.5","1002.8","1002.9","1003.1","1004.2","1002.4","1001.1","1005.1"
"C0ACA0","1007.7","1005.3","1003.7","1002.4","1003.5","1003.3","1003.2","1003.5","1001.9","998.7","996.4","998","1001.7","1001.1","1000.3","1004","1004","1001","998.6","997.7","1004.8","1006.1","1004.4","1004.7","1004.8","1004.9","1006.2","1004.1","1002.9","1007.2"
"C0AD00","1000","997.4","995.7","994.4","995.6","995.2","995.4","995.6","994","990.8","988.3","989.8","993.7","993.1","992.3","996","995.9","993.2","990.7","989.7","996.7","998.1","996.5","996.8","997","997.2","998.4","996.6","995.1","999.5"
"C0AD10","1006.1","1003.8","1002.1","1000.8","1001.8","1001.3","1001.5","1001.6","1000","996.8","994.5","996","999.7","999.3","998.6","1002.3","1002","999.3","996.8","995.9","1003.1","1004.2","1002.5","1002.8","1002.9","1003.2","1004.4","1002.2","1001.1","1005.6"
