"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"109","C0S730",3.36,4.73,18.69,12.82,12.95,4.23,4.93,4.04,0.81
"110","C0S740",1.27,1.39,1.6,0.96,2.21,0.62,0.34,0.54,0.66
"111","C0S750",6.77,2.59,5.81,1.52,5.84,1.96,1.6,1.68,3.39
"112","C0S760",2.18,1.46,2.41,2.38,3.14,1.18,1.07,1.34,1.27
"113","C0S770",0.93,2.2,5.43,4.43,3.59,0.88,1.28,1.62,2.02
"114","C0S790",0.7,1.91,4.45,3.23,2.04,0.66,1.67,0.82,0.86
"115","C0S810",3.02,0.57,3.69,3.61,2.79,0.34,0.86,1.62,0.34
"116","C0S830",5.45,1.23,3.9,1.85,1.98,0.45,1.53,1.62,0.79
"117","C0S840",0.39,2.34,5.16,3.11,4.89,0.43,0.36,1.2,0.5
"118","C0T790",14.95,2.82,7.76,0.04,6.14,2.16,2.95,2.43,5.82
"119","C0T820",6.52,1.27,4.21,0.02,4.93,0.89,1.57,1.75,3.15
"120","C0T870",4,1.98,3.98,2.77,4.57,0.86,2.86,2.25,2.16
"121","C0T960",2.73,1.91,2.67,2.96,3.52,1.46,2.05,1.8,2.64
"122","C0T9A0",4.14,2.59,3.81,3.82,3.54,2.18,1.88,4.36,2.84
"123","C0T9B0",6.23,4.6,6.14,4.45,6.88,2.02,3.64,5.5,4.02
"124","C0T9D0",2.96,0.52,5.34,3.41,4.68,1.38,0.71,1.46,0.59
"125","C0T9E0",7.36,3.18,1.41,4.89,4.38,2.16,1.72,3.11,3.55
"126","C0T9F0",4.38,2.12,3.33,3.27,2.66,1.55,1.33,3.61,2.12
"127","C0T9G0",3.45,2.38,3.28,2.7,4.34,2.45,3.66,4.11,3.48
"128","C0T9H0",6.64,4.88,8,7.39,7.25,6.05,4.6,7.09,6.16
"129","C0T9I0",7.46,3.57,6.43,5.84,6.25,3.68,4.52,7.88,3.84
"130","C0T9M0",7.11,2.2,5.86,3.43,3.12,2.34,3.12,6.54,2.23
"132","C0U650",8.11,3.64,10.26,6.79,6.91,5.34,5.36,4.46,6.84
"136","C0U770",3.04,0.59,3.05,4.96,3.34,0.55,0.48,4.91,0.07
"137","C0V250",0.59,0.39,1.9,0.04,0.88,0.8,0.74,0.04,0.61
"138","C0V310",1.11,0.2,0.72,0,0.59,0.68,0.26,0,0.46
