"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"120","C0U600",4.19,10.95,16.26,10.03,7.74,21.24,6.11,2.42,7.42
"121","C0U650",3.74,9.08,24.82,15.65,4.08,15.87,4.82,4.44,3.76
"122","C0U710",7.34,18.76,58.34,15.73,14.26,54.19,13.16,6.26,12.35
"123","C0U760",7.58,10.06,26.87,11.1,1.19,29.79,4.68,4.37,8.95
"124","C0U770",4.92,11.23,23.27,6.06,0.66,22.79,5.55,2.82,8.05
"125","C0V250",14.47,18.73,22.74,50.16,11.98,28.58,9.08,8.71,47.76
"126","C0V310",12.9,19,21.05,43.47,19.35,24.37,11.1,8.24,41.52
"127","C0V370",7.06,13.87,21.74,29.27,22.05,26.69,10.34,4.97,44.27
"128","C0V490",3.26,9.79,22.98,26.24,34.53,22.77,11.69,9.81,50.71
"129","C0V500",4.79,8.74,21.35,1.27,28.05,16.53,9.82,8.76,44.68
"130","C0X080",2.76,4.92,11.56,19.1,15.76,23.89,4.02,4.85,37.02
"131","C0Z050",4.58,12.29,17.98,4.82,3.5,10.76,7.32,7.4,10.29
"132","C0Z061",3.55,16.27,20.23,2.97,2.45,9.03,12.87,8.74,7.84
"133","C1A9N0",7.66,13.1,34.45,21.77,8.76,34.06,5.1,3.82,11.95
"134","C1AC50",7.21,1.66,15.79,23.13,3.84,13.98,1.85,1.18,7.21
"135","C1C510",4.97,1.02,15.98,16.47,1.23,9.95,2.98,0.82,7.79
"136","C1D380",4.56,2.65,18.84,17.29,1.79,7.87,3.63,2.1,8.1
"137","C1D400",5.48,8.13,39.16,35.66,5.59,24.85,5.21,1.53,14.26
"138","C1D410",9.69,9.05,66.54,26.08,7.53,14.61,5.15,3.73,16.85
"139","C1D420",7.9,8.39,26.84,23.18,4.71,13.44,4.39,4.37,15.65
"140","C1E480",6.52,6.53,32.79,29.26,12.34,14.21,7.53,4,13.16
"141","C1E670",8.71,7.61,27.44,29.42,10.65,13.89,10.11,3.21,16.5
"142","C1H920",4.16,4.24,18.52,22.95,7.02,15.39,5.4,2.32,16.61
"143","C1I020",3.82,5.53,21.08,13.68,4.34,15.6,3.29,1.89,12.26
"144","C1I030",7.95,8.61,22.53,16.31,9.66,14.94,6.19,3.95,17.05
"145","C1I070",6.71,6.39,14.26,22.31,5.81,12.82,4.02,3.05,12.85
"146","C1I140",4.55,7.6,19.39,14.13,5.5,11.44,3.23,3.87,5.29
"147","C1I150",5.95,7.63,21.58,19.42,4.56,12.35,2.58,3.58,16.13
"148","C1I220",10.76,9.55,38.1,34.37,12.58,24.4,6.68,17.15,16.26
"149","C1I250",11.32,11.4,16.92,21.69,14.56,17.04,8.24,8.05,17.82
"150","C1I280",10.95,6.11,29.45,36.4,6.71,13.84,8.11,6.53,17.05
"151","C1I290",9.61,7.98,24.74,19.73,7.95,12.45,4.35,4.69,17.84
"152","C1I310",8.56,5.84,28.98,25.27,9.13,13.65,4.74,4.74,20.68
"153","C1I320",2.5,5.89,20.6,10.24,6.02,14.06,4.06,2.39,11.6
"154","C1I340",6.4,8.21,15.68,21.76,8.52,15.29,4.03,3.11,15.02
"155","C1I440",10.76,20.82,14.9,30.9,12.98,27.35,9.24,5.76,27.79
"156","C1M390",13.61,17.61,33.4,49.9,14.47,42.02,6.53,6.98,35.06
"157","C1M400",20.76,13.4,24.32,48.68,11.58,27.98,10.37,7.15,47.98
"158","C1O850",13.94,9.53,20.06,47.85,14.56,21.9,11.13,8.95,39.15
"159","C1O870",27.37,16.48,35.95,51.76,19.32,27.79,12.56,10.92,48.08
"160","C1O880",16.52,14.44,23.31,49.35,18.52,22.18,6.42,9.85,42.76
"161","C1R110",12.65,19.67,21.26,43.21,15.27,30.29,17.6,10.6,47.52
"162","C1R120",6.56,24.74,32.42,51.79,14.45,37.79,15.97,5.69,44.08
"163","C1R250",11.13,22.15,34.27,15.27,28.52,21.26,22.5,13.53,45.52
"164","C1R290",18.92,25.06,34.68,23.24,22.71,10.97,18.74,8.65,41.15
"165","C1S670",3.21,13.61,17.03,5.37,4.85,7.94,7.9,5.34,10.85
"166","C1S800",7.68,16.47,22.19,7.24,2.34,8.11,6.11,11.63,16.47
"167","C1S880",8.6,13.3,21.29,23.65,5.31,13.24,14.31,9.23,23.55
"168","C1T800",1.53,14.6,24.82,3.84,2.24,21.13,6.58,3.45,5.27
"169","C1T810",2.26,16.42,21.84,6.53,4.65,20.66,7.39,4.77,6.08
"170","C1T830",2.66,21.71,31.44,4.65,4.87,27.44,6.5,6,8.52
"171","C1T940",5.19,20.6,21.76,3.26,4.45,19.19,16.78,8.85,18.15
"172","C1T950",5.85,24.47,25.44,4.6,12.02,20.34,21.18,10.11,17.71
"173","C1T970",2.77,15.81,16.21,2.37,2.61,14.29,12.1,9.21,9.11
"174","C1T980",3.42,17.82,24.27,6.68,6.21,18.27,9.24,0,7.35
"175","C1T990",2.21,17.13,15.92,2.39,2.19,9.87,15.34,9.94,6
"176","C1U501",3.82,5.6,32.03,12.76,5.47,14.06,4.1,6,4.47
"177","C1U670",3.13,8.32,23.03,11.48,3.55,25.21,4.03,4.58,5.94
"178","C1U690",3.29,8.05,22.05,10.44,1.61,23.55,4.55,2.9,6.68
"179","C1V160",15.16,14.15,25.6,45.48,13.58,23.76,12.97,8.56,36.6
"180","C1V170",3.98,23.06,22.84,24.61,6.65,15.86,9.35,6.87,23.05
"181","C1V190",5.03,23.73,21.89,31.29,10.82,33.87,12.47,7.19,33.45
"182","C1V200",5.63,13.11,16.37,30.74,7.02,21.73,6.21,1.42,26.82
"183","C1V300",10.95,28.89,27.23,49.63,17.39,46.06,14.92,7.08,51.79
