"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"139","C0V490",0.1,0.31,0,0,0,0.13,4.71,0,1.02
"140","C0V500",0.06,0.34,0,0.02,0,0.08,4.89,0,0.92
"141","C0X080",0.31,0.37,0.18,0.26,0,0.66,5.16,0,1.32
"142","C0Z050",1.11,1.61,1.74,1.37,0.35,0.48,4.47,0.48,2.58
"143","C0Z061",2.06,1.68,1.31,1.81,0.23,1,5.74,0.44,2.79
"144","C0Z070",1.82,1.4,1.24,1.61,0.74,1.15,5.87,0.39,2.48
"145","C1A9N0",5.92,9,10.19,6.92,3.05,2.55,11.58,3.47,11.69
"146","C1AC50",3.15,2.16,4.21,2.29,0.58,0.74,8.73,0.95,8.4
"147","C1C510",3.32,3.03,5.53,2.55,1,0.87,9.81,0.89,9.52
"148","C1D380",2.89,2.77,5.27,2.11,0.68,0.79,10.71,1,8.84
"149","C1D400",3.89,3.21,6.08,1.45,0.02,0.71,5.02,0.77,8.63
"150","C1D410",4.19,3.39,8.05,2.02,0.76,1.02,14.58,0.73,11.5
"151","C1D420",3.87,3.29,7.4,1.76,0.48,0.66,12.32,0.79,9.56
"152","C1E480",3.71,2.71,7.97,1.79,0.53,0.79,14.37,0.82,2.82
"153","C1E670",3.79,2.95,8.45,2.18,0.69,1.06,15.32,1.18,10.35
"154","C1H000",2.95,3.5,4.9,1.47,0.06,1.16,16.57,1.42,9.74
"155","C1H860",2.71,2.53,4.27,1.15,0.05,0.97,15.5,1.74,9.66
"156","C1H900",1.76,1.85,2.82,0.85,0,0.4,9.3,0.44,4.81
"157","C1H920",1.34,1.39,2.26,0.76,0,0.29,8.34,0.31,4.24
"158","C1I020",2.44,2.74,3.1,0.97,0.03,0.58,11.88,0.6,6.77
"159","C1I030",1.58,2,2.24,0.63,0,0.03,8.79,0.24,5.27
"160","C1I070",0.89,2.05,1.79,0.44,0,0.79,6.88,0.02,4.53
"161","C1I140",1.19,1.89,1.55,0.48,0,0.66,7.56,0.1,3.85
"162","C1I150",1.63,2.35,2.31,0.68,0,0.4,8.32,0.15,5.45
"163","C1I220",1.73,1.6,2.26,0.89,0,0.53,10.98,0.34,5.35
"164","C1I230",1.6,1.69,2.02,0.81,0,0.5,10.34,0.18,5.13
"165","C1I240",1.5,1.71,2.35,0.84,0,0.44,11.59,0.29,5.26
"166","C1I250",2.19,2.13,2.65,0.69,0,0.48,11.88,0.44,5.55
"167","C1I280",1.06,1.02,1.6,0.58,0,0.31,6.21,0.19,4.21
"168","C1I290",1.05,2.24,1.74,0.61,0,0.71,8.55,0.05,4.71
"169","C1I310",1.32,2.42,2.35,0.69,0,0.69,9.5,0.06,5.52
"170","C1I320",2.69,3.15,3.76,0.98,0.02,0.63,13.69,0.66,8.39
"171","C1I330",2,2.26,2.15,0.65,0.02,0.48,13.71,0.5,6.37
"172","C1I340",1.16,2.29,2.32,0.52,0,0.87,10.6,0.03,5.69
"173","C1I440",1.42,3.42,3.19,1.03,0,0.97,15.03,0.35,8.27
"174","C1M390",0.89,1.24,1.66,0.61,0,0.42,7.94,0.18,3.26
"175","C1M400",0.61,0.56,0.84,0.4,0,0.44,7.03,0,2.65
"176","C1M480",0.87,0.98,1.44,0.53,0,0.37,7.05,0.11,3.13
"177","C1M600",0.77,1.13,1.44,0.63,0,0.68,8.08,0.08,3.52
"178","C1M610",1.03,1.66,1.74,0.77,0,0.52,7.97,0.19,3.66
"179","C1M620",0.89,1.47,1.84,0.74,0,0.77,8.5,0.03,4.06
"180","C1O850",0.5,0.31,0.32,0.13,0,0.19,6.6,0,1.61
"181","C1O870",0.71,0.74,1.03,0.55,0,0.82,7.6,0.02,2.73
"182","C1O880",0.37,0.76,0.81,0.21,0,0.42,6.79,0,2.23
"183","C1R110",0.23,0.84,0.19,0,0,0.23,4.95,0.03,1.56
"184","C1R120",0.4,0.89,0.39,0.02,0,0.27,6.06,0.06,1.94
"185","C1R250",0.08,0.39,0,0.15,0,0.27,6.03,0.03,1.11
"186","C1R290",1.11,0.69,0.16,3.96,0,0.76,3.52,0.29,1.87
"187","C1S670",1.5,1.84,1.66,1.03,0.52,1.13,6.82,0.95,4.03
"188","C1S800",1.27,0.61,0.52,1.19,0.55,1.1,5.06,0.06,2.6
"189","C1S880",3.97,3.66,1.4,5.89,1.08,1.89,7.42,1.31,4.42
"190","C1T800",2.42,3.08,3.66,1.81,0.23,0.57,8.73,1.24,6.35
"191","C1T810",2.97,4.44,5.61,2.24,0.34,1.31,13.6,1.32,9.1
"192","C1T830",1.18,0.94,2.16,1.71,0.1,1.05,5.45,0.52,3.21
"193","C1T920",2.27,1.06,1.94,2.02,0.35,1.24,6.19,0.73,2.89
"194","C1T940",2.37,1.97,2.73,2.29,0.9,1.53,8.34,1.76,3.31
"195","C1T950",9,13.11,13.08,11.02,5.81,8.23,17.87,8.68,11.29
"196","C1T970",3.29,2.71,2.47,2.82,1.35,2.02,8.58,1.63,2.15
"197","C1T990",2.03,1.69,1.4,1.73,0.68,1.27,6.35,0.65,2.15
"199","C1U670",8.69,8,7.84,9.18,2.24,4,6.45,7.5,15.08
"200","C1U690",10.18,8.76,8.73,11.74,2.24,4.89,6.69,6.5,18.02
"201","C1V160",0.82,1.44,1.13,0.5,0.02,0.68,7.74,0.18,3.94
"202","C1V170",0.65,1.31,1.26,0.76,0,0.9,11.08,0.34,5.79
"203","C1V190",2.6,5.1,5.61,1.61,0,1.44,18.97,0.48,9.76
"204","C1V200",0.76,1.39,1.4,0.31,0,0.65,9.52,0.02,3.66
"205","C1V220",1.26,2.4,1.92,0.56,0.02,0.35,10.9,0.06,4.58
