"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"169","C1M620",10.85,6.95,37.88,4.07,16.27,5.97,22.55,46.4,24.1
"170","C1R110",14.87,7.73,64.18,8.32,8.07,0.53,25.18,20.92,30.88
"171","C1R120",16.22,8.22,85.68,22.38,10.8,3.35,28.25,30.87,28.67
"172","C1R250",12.47,9.37,51.47,4.87,9.23,0.55,15.1,9.92,33.18
"173","C1R290",5.75,13.17,28.42,8.62,10.27,1.83,12.5,5.6,21.38
"174","C1S670",2.92,7.83,19.42,4.72,5.87,0.9,5.38,16.27,5.7
"175","C1S800",2.17,16.95,24.43,15.52,8.12,0.63,3,10.5,10.9
"176","C1S820",1.57,19.37,29.03,19.65,8.56,0.2,4.48,9.48,11.92
"177","C1S880",5,14.37,30.27,18.37,12.8,1.35,8.85,8.92,20.87
"178","C1T800",4.88,1.83,13.07,1.07,3.12,0.57,2.48,12.2,2.6
"179","C1T810",6.9,3.08,19.42,2.42,5.17,0.92,5.78,20.08,4.24
"180","C1T830",4.15,3.75,12.85,1.18,3.55,2.15,7.25,9.02,3.05
"181","C1T940",7.98,5.27,13.3,8.63,10.8,5.03,7.82,14.58,10.48
"182","C1T950",9.52,7.77,19.08,10.57,15.27,6.28,8.13,19.58,14.83
"183","C1T970",5.38,3.22,13.43,6.1,5.57,1.67,4.1,5.87,8.95
"184","C1T990",4.68,5.63,10.95,5.68,4.77,1.02,2.82,5.58,6.52
"185","C1U501",9.2,5.25,13.77,5.13,11.52,2.7,8.83,12.62,9.3
"186","C1U670",6.87,5.82,12.47,4.45,11.9,3.68,9.8,10.85,12.15
"187","C1U690",6.83,4.52,13.75,4.4,12.63,5.03,9.32,9.23,12.5
"188","C1V160",12.58,8.37,62.7,4.23,14.7,2.6,20.38,54.1,18.97
"189","C1V170",12.65,10.17,28.63,4.72,10.7,0.33,14.75,32.02,15.87
"190","C1V190",14.4,8.53,72.83,5.72,11.48,3.18,24.82,66.67,19.78
"191","C1V200",11.72,6.43,56.9,4.5,8.25,1.05,16.68,50.98,15
"192","C1V220",13.48,7.2,74.93,5.13,11.63,0.75,26.58,58.52,21.05
"193","C1V300",20.43,10.88,78.92,5.65,17.13,2.17,23.77,50.98,27.9
"194","C1V340",14.03,9.65,65.25,6.3,11.95,1.35,19.6,26.52,27.07
"195","C1V390",8.38,11.68,33.42,3.27,6.67,0.47,12.22,12.27,27.37
"196","C1Z030",3.65,5.3,11,5.47,5.47,0.45,4.62,6.73,7.52
"197","C1Z040",4.2,5.98,9.93,6.22,7.17,0.33,5.35,4.63,10.93
"198","C0A9B0",12.25,10.17,16.32,2.98,7.97,2.38,11.77,23.58,1.08
"199","C0R360",3.55,13.47,24.5,8.2,11.87,1.62,10.45,2.7,17.35
"200","C0R370",4.87,13.43,28,8.82,10.88,2.02,9.72,4.02,19.72
"201","C0R380",9.38,9.6,32.73,5.18,7.88,0.45,11.32,8.17,28.45
"202","C0R400",6.28,10.87,33.52,6.57,12.25,0.8,9.63,6.43,21.1
"203","C1A730",15.45,10.35,24.62,5.37,17.35,13.4,16.95,26.1,2.3
"204","C1R300",4.47,17.78,32.75,14.33,10.87,1.1,8.9,12.6,18.47
"205","C1R320",5.1,11.93,16.68,3.65,9.68,1.4,10.35,4.75,12.3
"206","C1R330",5.07,9.7,14.11,6.02,11.02,0.53,8.87,5.37,21.4
"207","C1R340",5.3,15.92,35.12,13.57,10.58,1.7,13.6,6.88,22.32
"208","C1S620",2.7,21.05,40.77,20.63,7.57,0.62,6.95,13.37,17.55
"209","C1S630",1.48,14.27,17.55,13.03,6.95,0.15,3.18,5.08,5.87
"210","C1S660",2.62,7.48,14.6,5.8,5,1.1,3.27,12.18,4.48
