"","stno","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"174","C1M480",3.7,0.18,6.6,6.4,0.7,3.33,5.83,4.8,1
"175","C1M600",3.55,0.65,9.08,8.63,1.8,2.48,7.48,4.18,1.53
"176","C1M610",4.78,0.25,8.85,7.97,1.13,3.15,7.48,5.12,2.65
"177","C1M620",3.55,0.2,6.92,7.72,0.93,4.17,7.35,5.75,2.22
"178","C1O850",1.17,0.38,3.32,6.48,0.48,1.75,10.4,3.65,0.15
"179","C1O870",2.13,0.48,5.03,5.67,1.43,1.9,7.2,3.85,1.05
"180","C1O880",1.47,0.8,4.18,12.93,0.95,1.05,8.85,3.93,1.98
"181","C1R110",1.7,2.1,7.67,6.8,1.08,0.6,7.38,4.25,1.72
"182","C1R120",2.17,2.53,10.17,9.12,2.02,2.1,9.02,5.42,2.15
"183","C1R250",1.3,1.4,4.32,2.25,1,1.33,7.3,4.27,0.4
"184","C1R290",0.97,1.58,2.25,2.75,0.22,3.57,3.13,2.72,0.17
"185","C1S670",2.5,1.37,3.5,5.58,1.98,2.5,4.62,6.18,1.7
"186","C1S800",1.92,2.4,2.83,2.87,1.4,4.7,3.88,5,0.92
"187","C1S880",8.1,2.6,4.73,4.25,3.08,6.88,3.22,4.63,1.67
"188","C1T800",5.12,0.7,4.57,9.2,1.87,1.8,3.9,6.5,2
"189","C1T810",7.32,1.05,9.78,13.7,2.02,2.38,6.08,8.47,1.7
"190","C1T830",3.55,0.8,2.65,5.75,1.13,1.75,2.45,4.43,1.13
"191","C1T920",2.43,0.73,2.77,4.87,2.88,1.93,2.42,1.5,1.27
"192","C1T940",3.83,2.03,3.05,6.93,4.38,2.82,2.52,4.07,3.97
"193","C1T950",12.07,6.97,6.67,12.87,12.6,8.18,5.35,6,10.33
"194","C1T970",3.85,2.13,2.95,5.63,4.33,4.67,4.2,2.17,3.72
"195","C1T990",2.15,1.65,1.67,4.12,2.83,1.43,1.7,1.68,2.35
"196","C1U501",5.27,1.03,6.32,8.35,2.77,4.27,3.37,5.38,3.17
"197","C1U670",3.9,0.83,3.72,6.28,2.03,4.38,3.93,5.5,3.42
"198","C1U690",4.97,1.03,4,6.32,1.98,4.48,3.53,5.07,2.97
"199","C1V160",2.48,0.42,7.63,10.62,3.08,1.53,9.17,5.72,2.1
"200","C1V170",7.94,1.22,8.38,13.62,2.02,2.72,1.63,7.45,2.47
"201","C1V190",6.07,1.53,12.65,20.58,3.1,1.5,14.17,13.9,4.6
"202","C1V200",2.55,0.88,7.88,11.72,1.88,3.37,10.88,6.13,2.55
"203","C1V220",3.33,1.45,9.03,12.03,3.13,2.67,9.82,9.95,3.18
"204","C1V300",3.63,2.18,9.23,7.58,4.38,2.35,9.83,7.7,2.05
"205","C1V340",1.57,1.62,7.72,4.6,0.82,1.12,8.38,5.78,1.2
"206","C1V390",2.52,1.35,4.58,4.23,0.58,0.38,7.38,1.58,0.03
"207","C1X040",1.58,0.43,4.57,4.67,0.72,2.42,7.18,3.47,0.52
"208","C1Z030",1.67,1.43,1.17,3.82,1.87,2.38,1.58,1.77,2.75
"209","C1Z040",2.8,1.78,1.65,5.43,3.55,2.4,1.88,2.57,2.38
"210","C0A9B0",4.1,1.3,12.4,8.12,2.97,2.78,6.4,3.27,2.5
"211","C0R360",0.62,1.68,1.93,2.72,0.37,4.28,1.37,1.65,0.62
"212","C0R370",0.9,1.63,1.7,3.13,0.72,4.53,1.93,1.25,0.72
"213","C0R380",1.68,0.93,4.5,3.25,0.65,1.18,4.95,3.08,1.37
"214","C0R400",0.8,0,3.1,2.82,0.57,1.9,3.97,2.45,0.12
"215","C1A730",3.42,0.9,11.45,8.73,2.98,3.03,6.52,3.95,3.55
"216","C1R300",3.07,2.47,4.4,3.47,1.97,5.65,3.73,3.63,1.02
"217","C1R320",0.65,1.32,1.37,2.65,0.83,3.53,2.28,1.65,0.05
"218","C1R330",0.93,0.88,5.33,2.35,0.18,1.33,2.75,2.17,0.48
"219","C1R340",1.17,1.45,2.27,2.33,0.82,4.02,3.53,2.85,0.33
"220","C1S620",4.65,2.88,4.07,3.45,1.38,5.15,8.52,4.75,1.22
"221","C1S630",1.13,2.35,1.62,1.38,1.3,2.23,2.67,4.17,7.05
"222","C1S660",1.93,1.3,2.45,3.98,1.15,2.72,3.55,4.3,0.87
