"stno","2013-05-01","2013-05-02","2013-05-03","2013-05-04","2013-05-05","2013-05-06","2013-05-07","2013-05-08","2013-05-09","2013-05-10","2013-05-11","2013-05-12","2013-05-13","2013-05-14","2013-05-15","2013-05-16","2013-05-17","2013-05-18","2013-05-19","2013-05-20","2013-05-21","2013-05-22","2013-05-23","2013-05-24","2013-05-25","2013-05-26","2013-05-27","2013-05-28","2013-05-29","2013-05-30","2013-05-31"
"C0T9H0","10","0","2.5","10.5","65","183","14.5","26","5","0.5","27","27","0","15.5","0.5","0.5","20","6.5","2.5","6.5","38","2","49.5","48.5","6","0","0","0","0","0","0"
"C0T9I0","14.5","0","1","5.5","63.5","172","13.5","16.5","5.5","1","30.5","34","1","8.5","1","1","11","5.5","2.5","7","39.5","3.5","42","161","5","0","0","0","0","0","0"
"C0T9M0","4.5","0","1.5","2.5","117","105","15.5","9.5","5","3.5","22","10","1","6.5","2","2","2","5","1.5","7.5","5.5","0.5","10","114.5","6","0","0","0","0","0.5","0.5"
"C0U600","11","0","0","4.5","21","18.5","17","2.5","0","12.5","30.5","48","43.5","0","5.5","1","10.5","0","0","10.5","21.5","15","9","19.5","0","0","0","0.5","0","5","0"
"C0U650","27","0","1.5","8","18.5","30","11","2","0.5","0","31","43.5","10.5","2.5","6","0","15","0.5","0.5","3.5","30","9.5","15.5","47.5","2","0","0.5","2","11.5","72","1.5"
"C0U710","14.5","0","11.5","11","18.5","37","23","7.5","0","0","27","22.5","16","3","2","1.5","11.5","0.5","4","5.5","26.5","6.5","9.5","7","0.5","0","0","0","25","18.5","1"
"C0U750","2","0","0","1","5","6","5.5","0","1","19","15","33.5","2.5","0","3","0.5","13","0","0","11.5","22.5","6","10","10.5","0","0","0","0","0","0","0"
"C0U760","16","0","2.5","11","44.5","80","17","17","6","2","23.5","13","4.5","0","5.5","1.5","10.5","0.5","0.5","1.5","20.5","6.5","26","6","0","0","0","0","0","1","0"
"C0U770","1.5","0","3","8.5","41.5","81.5","18","20.5","3.5","2","16","10.5","4","0","10.5","0.5","6","1","2.5","3.5","25.5","7","10","0.5","0","0","0","0","0","1.5","0"
"C0V250","17","8","2.5","0","0","5.5","0","0.5","0","0","18.5","8.5","10","10","0.5","15","68","21.5","143","123","13","30.5","1.5","0","11","23","0","0","7","0.5","0"
"C0V310","13","5","0","0.5","0","0","0","0","0","0","0","4.5","3","3.5","0","45.5","116.5","26","42.5","57.5","14.5","28.5","0.5","0","0.5","25.5","0","0","0","0","0"
"C0V370","12.5","7","0","1","0","0","0","0","0","0","0","6.5","0.5","0","0","29.5","128","34","25","52.5","10.5","3","0.5","0","0","0","0","3","0","0","0"
"C0V490","20.5","7.5","0","0","0","0","0","0","0","0","0","1.5","10","0","0","18.5","15.5","171","0.5","15","27.5","32.5","0","0","0","0","0","0","0","0","0"
"C0V500","20","9.5","0","0","0","3.5","0","0","0","0","0","2","4","0","0","24.5","11","194","5.5","16","27.5","39.5","0","0","0","0","0","0","0","0","0"
"C0X080","9.5","4","1.5","0","0","0","0","0","0","0","1","27","0.5","0","0","20","73","14.5","9.5","26","5.5","3.5","17.5","0.5","0","0","0","0","0","0","0"
"C0Z050","12.5","0.0","0.0","3.0","19.5","12.5","4.0","7.0","1.5","0.0","1.0","5.5","1.5","37.0","1.5","2.5","12.5","/","/","/","0.0","4.5","0.0","2.5","8.0","0.0","0.0","2.0","2.0","4.5","0.0"
"C0Z061","10.5","0","0","1","6","58","4.5","1.5","3.5","0","13.5","8","0.5","54","1","3.5","15","0.5","3.5","8.5","4","3","0.5","44.5","10","0","0","6","0","9","0"
"C0Z070","12.5","0","1.5","4.5","4","59.5","5","13","2.5","0","10","11","5.5","15","1.5","2.5","7","0","2","9","8.5","2.5","9.5","25","3.5","0","0","1","0.5","10","0"
