"stno","2015-02-01","2015-02-02","2015-02-03","2015-02-04","2015-02-05","2015-02-06","2015-02-07","2015-02-08","2015-02-09","2015-02-10","2015-02-11","2015-02-12","2015-02-13","2015-02-14","2015-02-15","2015-02-16","2015-02-17","2015-02-18","2015-02-19","2015-02-20","2015-02-21","2015-02-22","2015-02-23","2015-02-24","2015-02-25","2015-02-26","2015-02-27","2015-02-28"
"467350","0","0","0","0","0","-9998","0","0","0","0","0","0","0","0","0","8.4","0","0","0","0","11.3","0","-9998","0","0","0","-9998","0"
"467410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5","0","0","0","0","14","0.5","0","0","0","0","0","0"
"467420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0","0","0","20","0.5","0","0","0","0","0","0"
"467440","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9998","4","0","0","0","0","10.5","23.5","0","0","0","0","0","0"
"467480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.5","0","0","0","0","10.5","0","0.1","0","-9998","0","0","0"
"467490","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8","12.6","0","0","0","0","2.4","0","0","4.4","0","0","0","0"
"467530","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0.1","23.2","0","0","0","0","28","2.8","0","0","0","0","0","0"
"467540","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","1","0","2","0","0","0","9.1","0","0","0","0","0","0"
"467550","0","0","0","2.2","0","0","1.1","0.2","0","0","0","0","0","0","0.5","7","0","0","0","0","2","0","0","0","0","0","0","0"
"467571","0","0","1.8","0.4","0.9","0.1","0","1.5","0","0","0","0","0","0","15.4","15.8","0","0","0","0","1.5","0","0","9.1","0.1","0.1","0.5","0"
"467590","0","0","-9998","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.5","0","0","0","0","0","0"
"467610","0.3","0","1.9","1.7","0.5","0","0","1.9","0","0","0","0","0","0","2.2","2.5","0.3","0","0","0","4.9","1.1","0","0.1","0","0","0","0"
"467620","0","0","2.5","13.5","21","0.5","3","0.5","1.5","4.5","0","0","0","0","2","0.5","2.5","-9998","1","0","0.2","31.5","0.5","0","0","0","0.5","0"
"467650","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","3.5","0","0.5","0","0","0","0","0"
"467660","0","0","0","0","0","0","0.2","0","0","0","0","0","0","0","1.7","0","-9998","0","0","1.4","11.1","13","-9998","0","0","0","0","0"
"467770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5","20.5","0","0","0","0","4","0","0","2","0","0","-9998","0"
"467780","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","21","0","0.5","0","0","0","0","0"
"467990","0","0","0","0.2","0","0","0.2","0.5","0","0","0","0","0","-9998","2","0.5","0","0","0","0.6","2","-9998","1","0.5","0","0","1","1.5"
"C0A520","0","0","0.5","9","10","1","1","6.5","0","0","0","0","0","0","7","10.5","0","0","0","0","0.5","0","0","42.5","0","0","0","0.5"
"C0A530","0.5","2","15","8","8.5","4","0","6","6.5","0","0","0","0","0","8","16.5","0","0","0","0","0.5","0","1.5","11.5","0","0","0","0.5"
"C0A540","1.5","8.5","16.5","6","6.5","4","0.5","4","4","0","0","0","0","0","5.5","19","0","0","0","0","0.5","0","0","17.5","0","0.5","0","0.5"
"C0A550","6","18","54.5","25.5","16.5","7","0.5","12.5","9.5","0","0","0","0","0","12","13.5","0","0.5","0.5","0","0.5","0.5","3.5","13","0","2","3.5","0.5"
"C0A560","0.5","0","3.5","3","6.5","4","0","6","3.5","0.5","0","0","0","0","1","15.5","0","1","0.5","0","1.5","0","0.5","5","0","0","0.5","0"
"C0A570","1","1.5","11.5","13.5","15","5.5","0","18","7.5","0.5","0","0","0","0","5.5","15","0","0","0","0","0.5","0.5","0.5","12","0","0.5","2.5","1"
"C0A640","0.5","0","18","10","10.5","2.5","0","4.5","2","0","0","0","0","0","5.5","13","0","0","0","0","0.5","0","0.5","22.5","0","0","0.5","0"
"C0A650","1.5","7.5","28","20.5","12","5.5","0","3.5","7.5","0","0","0","0","0","4.5","12.5","0","0","0","0","0.5","0.5","0.5","26.5","0","0.5","1.5","0"
"C0A660","5","2","69.5","40","12.5","6.5","17","15.5","7.5","0.5","0","0","0","0","1.5","7","0","0","0","0","0","1","3.5","24.5","0","12","13.5","7"
