"stno","2017-10-01","2017-10-02","2017-10-03","2017-10-04","2017-10-05","2017-10-06","2017-10-07","2017-10-08","2017-10-09","2017-10-10","2017-10-11","2017-10-12","2017-10-13","2017-10-14","2017-10-15","2017-10-16","2017-10-17","2017-10-18","2017-10-19","2017-10-20","2017-10-21","2017-10-22","2017-10-23","2017-10-24","2017-10-25","2017-10-26","2017-10-27","2017-10-28","2017-10-29","2017-10-30","2017-10-31"
"C1E670","1","0","0.5","2","0","0","0.5","0","0","0","0","0",NA,NA,NA,NA,"0","0","0","0","0.5","0","0","0","0","0","0","0.5","0","0","0"
"C1H000","0","0","1","0","0","0","0","0","0","0","0","3","35","56.5","51","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0"
"C1H860","0","0","0","0","0","0","0","0","0","0","0","0.5","21","25","45.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1H900","0","0.5","0","2.5","0","0","0","0","0","0","0","0","15","14","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1H920","0","0","0","2","0","0","0","0","0","0","0","0","14.5","15","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I020","0","0","0","3.5","0","0","0","0","0","0","0","1.5","22","29","36.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I030","0","0","0","9.5","0","0","0","0","0","0","0","1","20","26.5","42.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I050","0.5","0","0.5","9.5","3.5","0","0","28.5","3","0","1","4","82","90","48","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0"
"C1I070","0","0","0","0","0","0.5","0","0.5","1","0","0","0","16","26","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I140","0","0","0","8","0.5","0","0","9","0","0","0","3","28","51","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I150","3","0.5","0","1","0","0","0","0","0","0","0","0.5","13.5","22.5","43.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I220","0","0","0","3","0","0.5","0","0","0","0","0","0","12","23.5","46.5","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"C1I230","0","0","0","3.5","0","0","0","0","0","0","0","0","14","21.5","45.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I240",NA,"0","0","5.5","0.5","0","0","0","0","0","0","0","14","18.5","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I250","0","1.5","0","7.5","0","0","0","0","0","0","0","0","16.5","16","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I260","0","16.5","0.5","9.5","0","0","0","0","0","0","0","0","16","15","42.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I280","0","0","0","0","0","0","0","0","0","0","0","0","13","18.5","39.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I290","0","0.5","0.5","0","1.5","0","0","0","0.5","0","0","0.5","16.5","29.5","45.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I310","0","0","0","1.5","0.5","0","0","0","0.5","0","0","0.5","15.5","25","43.5","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0"
"C1I320","0","0","0","2","0.5","0","0","3","0","0","0","1","44.5","65.5","48","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I330","0","0","0","4","0","0","0","0","0","0","0","1","17.5","25","30.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I340","0","0","0","0","0.5","0","0","0.5","0.5","0","0","0","14.5","22.5","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C1I440","0","0","0","0.5","0","1.5","0","4","2","0","0","0","29","51.5","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
