"stno","2012-02-01","2012-02-02","2012-02-03","2012-02-04","2012-02-05","2012-02-06","2012-02-07","2012-02-08","2012-02-09","2012-02-10","2012-02-11","2012-02-12","2012-02-13","2012-02-14","2012-02-15","2012-02-16","2012-02-17","2012-02-18","2012-02-19","2012-02-20","2012-02-21","2012-02-22","2012-02-23","2012-02-24","2012-02-25","2012-02-26","2012-02-27","2012-02-28","2012-02-29"
"C0S680","0.5","0","1","0","4","0","3.5","14.5","1.5","0","1","6","3.5","4.5","2","8","5.5","1","1.5","2.5","26","18.5","0.5","2.5","6","4","4.5","0.5","4"
"C0S690","0","0","0","0.5","0.5","7","1","1","0.5","0","0","8","7.5","10.5","14","0.5","0","0","0","5","36","8.5","0","0.5","3","0","0","1.5","3"
"C0S700","0","0","0","0","1","6.5","4","2.5","0.5","0","0","4.5","5.5","13","9.5","1.5","0","0","0","3.5","30.5","10","0.5","6","2","0.5","1","1","3"
"C0S710","0","0.5","0","0","8.5","2","1","2.5","0","0","0","0.5","1.5","6","2.5","1","0.5","0","0","2","22","11.5","0.5","1","2.5","0","0.5","2","0"
"C0S730","0","3","1","0","164.5","25.5","0.5","14","11.5","1","12","70","13.5","14.5","40.5","3.5","1","5.5","34.5","48","34.5","20","0","0","0.5","1.5","7.5","3.5","10.5"
"C0S740","0","0","0","0","1","1","0","1","0","0.5","0","0","0","2.5","3","0","0","0","0","1.5","13.5","9","0","2","7.5","0","0","2.5","1.5"
"C0S750","0","4.5","8.5","0.5","0","0","3","29","1.5","0","6.5","0","0","1.5","1","1.5","3.5","1.5","0.5","2.5","15","26.5","23","14","11","3","4.5","6","0"
"C0S760","0.5","0","0.5","0","0","0","0.5","5.5","0.5","0","1","3.5","1.5","3.5","2.5","2.5","1.5","0","0.5","1.5","16","8","1","1","8","1","3","3","3.5"
"C0S770","2","0","0","0","0","9.5","3","1","0","0","0","4.5","7","9","38.5","3","0","0","0.5","15.5","40.5","19.5","0","0","1.5","0","0","2","0.5"
"C0S790","0","0","0","0","0","7","0","0.5","0","0","0","7","6.5","8.5","25.5","0.5","0","0","0","7.5","37.5","26.5","0","0","1","0.5","0","0.5","0"
"C0S810","0","0","0","0","18.5","5.5","0","0.5","0","0","0","2","5.5","10.5","7","0","0","0","0","21","12","10.5","0","0.5","13","0","0","0.5","0"
"C0S830","0","0","0","0","33","1","0","0","0","0","3.5","1","7","10","1.5","1","0","0","0","8.5","11.5","7.5","5.5","2","9.5","0","0.5","8.5","1.5"
"C0S840","0","0","0","0","1.5","3.5","0","2.5","0","0","6.5","0.5","6","7","8.5","0.5","0","0","0","37","47","29","0","0","0","0","0","0","0"
"C0T790","0","0","3","0","0","2.5","21.5","22.5","1.5","0","0","0","0","0","0","1.5","0","0","0","0","8","3.5","27","27.5","35","40","11.5","20","0"
"C0T820","0","0","6.5","0","0","0","13.5","11","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","26.5","12","15","24","9.5","1","0.5"
"C0T870","0","0.5","4","0","0","0","5.5","6","2","1","0.5","1","0","0.5","2","4","1.5","0","0","3","0","0.5","7","12.5","29","14","16.5","3.5","1"
"C0T960","0","0.5","2.5","0","0","0","4","10.5","0.5","0","2","0","0.5","1.5","10","3","0.5","0","0","0","1","0.5","5","9.5","9","2","5.5","8","1.5"
"C0T9A0","5.5","3","5","0","0","0","4.5","16.5","0.5","0.5","2.5","0.5","0","0.5","3","6.5","2","1","1.5","1.5","0.5","2.5","8","7.5","13.5","7","6.5","9","1.5"
"C0T9B0","0","5.5","6","0","0","0","11.5","12","2.5","4.5","3.5","0","0.5","0.5","4","8","4","1","0.5","0.5","0.5","6.5","22","12.5","25","26","9.5","9","2.5"
"C0T9D0","13.5","0.5","0","1","0","0","12","1.5","1","0.5","0.5","1.5","8.5","0","0.5","0","0","0","0","5.5","0.5","6","38","24","21","10.5","1","7","0.5"
"C0T9E0","1.5","0","2.5","0","0","0","5.5","0","0","0","0","0","0.5","1.5","0.5","1.5","0","0","7","7","0.5","3.5","X","X","X","X","X","X","1.0"
"C0T9F0","9","4.5","4","0","0","0","3.5","13.5","0.5","1","1.5","0","0","1","1.5","2","1","0.5","1","0.5","1","0.5","8","6.5","11","7","6.5","10.5","0.5"
"C0T9G0","0","3","3.5","0","0","0","7.5","14","1","0","2.5","1.5","0.5","4","7","3","1","0","0","0","0.5","2.5","4","8","9.5","4.5","9.5","6.5","1.5"
"C0T9H0","4.5","15.5","6","0","0","0","7.5","27","1.5","15","19","0","4.5","2","12","14.5","4","5","6","0.5","3","1.5","11.5","15.5","13.5","5","7","29","1.5"
"C0T9I0","9","9","2.5","0","0.5","13.5","6.5","15.5","0.5","10.5","22.5","0","8.5","2.5","3.5","2.5","2","3","2.5","1","3","2","3.5","10","9","1.5","2","39","1"
"C0T9M0","8","5","0.5","0","1","2.5","8","4","0","11","43","0","5","4","1","2","0","1","0.5","5","9","12","7.5","4","11","0.5","0","24.5","0"
"C0U600","15.5","5","11","4","0.5","0","1.5","10.5","3","0.5","1","1.5","0","0","0","2","1","0","12.5","19.5","0","0","17.5","55.5","19.5","25","11","2","0.5"
"C0U650","13.5","23","12.5","0.5","0","0","22","15","1.5","0","6.5","0","0","0","8.5","10.5","9.5","7.5","5","2.5","0.5","0","24","61.5","37","21","9","5","1.5"
"C0U710","3.5","20.5","2","0","0.5","0","10.5","8.5","1.5","0","0.5","0","0","1","1.5","0.5","9.5","2.5","0.5","0.5","0","0.5","19","30","11.5","16.5","6","10.5","0"
"C0U750","10.5","5.5","13.5","21.5","0.5","0","1","4","5","0","11","7.5","0","0","1","1.5","2.5","1.5","4","5.5","1","0.5","4.5","30.5","7.5","7.5","11.5","2.5","3"
"C0U760","4","44","4","1","0","1","11.5","8.5","1","0","1.5","1","14","0","2","2","17","6","2.5","35","0.5","1","25","24.5","15.5","8.5","5.5","4.5","1.5"
"C0U770","1.5","1","1","0.5","0","0","1","0","0","0","0.5","0.5","11","0","0","0","0","0","0","20","0","1","18.5","15.5","11.5","1","1","3","0"
"C0V250","0","0","0","0","0","0","0.5","7","0.5","0","0","0","0","0","0","5.5","5.5","0.5","0","0.5","10.5","4","0","6.5","7","1","2","4","0"
"C0V310","0","0","0","0","0","0.5","0","4","0","0","0","0","0","0","0","1","0","0","0","1.5","9","1.5","0.5","1.5","1","0","0","0.5","0"
"C0V370","0","0","0","0","0","12","1.5","4","0","0","0","0","0","0","0","7.5","0","0","0","0.5","12","1","0","2","2.5","0","0","0.5","0"
"C0V490","0","0","0","0","0","0","1.5","3","0","0","0","0","0","0","0","12.5","0","0","0","1","12","3","0","0","0","0","0","0","0"
"C0V500","0","0","0","0","0","0","1.5","2.5","0","0","0","0","0","0","0","2.5","0","0","0","1","12","2.5","0","0","0","0","0","0","0"
"C0X080","0","0","0","0","0","0","7","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1.5","5","2","0","0","6.5","0"
"C0Z050","0","0.5","1","0","0","0","3.5","9","1","0.5","0.5","1.5","0","5","0.5","0.5","1.5","0","1","0.5","8","11","5.5","17","5.5","3.5","2","10.5","1"
