"stno","2010-02-01","2010-02-02","2010-02-03","2010-02-04","2010-02-05","2010-02-06","2010-02-07","2010-02-08","2010-02-09","2010-02-10","2010-02-11","2010-02-12","2010-02-13","2010-02-14","2010-02-15","2010-02-16","2010-02-17","2010-02-18","2010-02-19","2010-02-20","2010-02-21","2010-02-22","2010-02-23","2010-02-24","2010-02-25","2010-02-26","2010-02-27","2010-02-28"
"C1I280","0","0","0","0","0","1","3","0","0","0","0","1","7.5","0","1","25.5","16","13.5","31.5","0.5","0","1","0","0","1","0","0","0"
"C1I290","0","0","0","0","0","1","0","0","0","0","0","16","0","0","3","12","11.5","8","27.5","1.5","0","1.5","0","0","0","0","3","0"
"C1I310","0","0","0","0","0","5.5","0.5","0","0","0","0","2","1.5","0.5","0","19","12.5","10.5","42","3","0","3","0","0","0","0","11.5","0"
"C1I320","0","0","0","0","0","23.5","3","0","0","0","0","21","9","0","0.5","28","33","35","93.5","7","0","2.5","0","0","0","0","0","0"
"C1I330","0","0","0","0","0","15.5","3.5","0","0","0","0","13.5","9","0","0.5","22.5","27","20.5","71.5","2","0","1","0","0","0","0","0","0"
"C1I340","0","0","0","0","0","0","0","0","0","0","0","19","0.5","0","1","15","26","10","50","1","0","5","0","0","0","0","0.5","0"
"C1I440","0","0","0","0","0","0","0","0","0","0","0","22","0.5","0","2.5","39","36.5","26","71.5","0","0","8","0","0","0","0","1.5","0"
"C1M390","0","0","0","0","0","0","0","0","0","0","0","9","1","0","3.5","24","16","13","37.5","0","0","2","0","0","0","0","9","0"
"C1M400","0","0","0","0","0","0","0","0","0","0","0","13.5","0","0","1.5","11","5","9","24","0","0","0","0","0","0","0","0","0"
"C1M480","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0.5","10","18","8.5","29.5","1.5","0","1.5","0","0","0","0","0","0"
"C1M600","0","0","0","0","0","0","0","0","0","0","0","5","0","0","3","19.5","14","8.5","35.5","0","0","1.5","0","0","0","0","0","0"
"C1M610","0","0","0","0","0","0","0","0","0","0","0","10","0.5","0","3","11.5","19.5","10.5","40.5","0","0","1","0","0","0","0","0","0"
"C1M620","0","0","0","0","0","0","0","0","0","0","0","21","0","0","1","7","13","6","40","1.5","0","1.5","0","0","0","0","0","0"
"C1O850","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","10.5","3","4","18.5","0","0","0","0","0","0","0","0","0"
"C1O870","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0.5","6.5","8.5","7","29","0","0","1.5","0","0","0","0","0","0"
"C1O880","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","9","5","9","23.5","0","0","0","0","0","0","0","0","0"
"C1R110","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0","0","5","0.5","9.5","10.5","0.5","0","0","0","0","0","0","0","14.5"
"C1R120","0","0","0","0","0","0","0","0","0","0","0","5.5","1","0","0","3.5","0.5","10","11","0","0","0","0","0","0","0","0","4"
"C1R250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0.5","0","0","0","0","0","0","0","0","0"
"C1R290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","2","0","0","0","0","0","0","0","0","0","0"
"C1S670","0","0","0","0.5","0","0","0","0","0","0","0","1.5","0.5","0","1","19","25","15","42","0.5","0.5","0.5","0.5","0","0","0","0","0"
"C1S800","0","0","0","4","0.5","0","1","0","0","0","0","0","0","0","0.5","2","0.5","5","4","0.5","0","0","0","0","0","0","0","0"
"C1S820","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.5","4","5","0","0","0","0","0","0","0","0","0"
"C1S880","1.5","0.5","3.5","0","0","0","0","0","0","0.5","0","5.5","0","0","5.5","5","2","9.5","1.5","0.5","0","0","0","0","0","0","0","0"
"C1T800","0","0","0","0","0","3.5","0.5","0","0","0","0","5.5","1","0.5","12","53","70.5","9","21","0","0","2.5","0","0","0","0","0","0"
"C1T810","0","0","0","0","0","7.5","7.5","0","0","0","0","7.5","3.5","0","16","64.5","89.5","64","68","2","0","12","0","0","1","0","0","0"
"C1T830","3","0.5","0","0","0","3.5","0","5.5","0","0","0","1","0","0","3","30.5","41.5","13","18","2","0","2.5","0","0","0","0","0","0"
"C1T920","3.5","1.5","0","0","0","1","0","12.5","0.5","0","0","1.5","0","0","4.5","14.5","9.5","6.5","15.5","0","0","0","0","0","0","0","0","1.5"
"C1T940","5.5","1.5","1","0.5","1.5","4.5","1","4","0","0","0","6","0","0","4.5","20.5","14","10.5","22","0","0","1.5","0","0","0","0","0","1.5"
