"stno","2018-04-01","2018-04-02","2018-04-03","2018-04-04","2018-04-05","2018-04-06","2018-04-07","2018-04-08","2018-04-09","2018-04-10","2018-04-11","2018-04-12","2018-04-13","2018-04-14","2018-04-15","2018-04-16","2018-04-17","2018-04-18","2018-04-19","2018-04-20","2018-04-21","2018-04-22","2018-04-23","2018-04-24","2018-04-25","2018-04-26","2018-04-27","2018-04-28","2018-04-29","2018-04-30"
"467440","0","1","0","0","0","0","0.5","0","0","0","0","0","0","0","0","-9998","0","0","0","0","0","0","0","0","7.5","0.5","0","0","0","0"
"467480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","-9998","6","0","0","0","0","0","0","0","0.3","0","0","0","0","0"
"467490","-9998","0","0","0","0","0","0","0","0","0","0","7.5","0","0","2.5","6.5","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467530","0","0","0","0","0","1.4","20","0","0","0","0","13","0.5","5.5","6","7.5","22","0","0","0","0","0","9.5","10","16.5","0","0","0.5","0","0"
"467540","0","0","0.1","0","0","0.5","0.5","0","0","0","0","0","0","0","0","0","0","1.5","0.2","0.5","0","22","2.5","0","0.5","0.4","2.8","7.5","0.5","0"
"467550","0","0","0","0","0","0","4","0","0","0","0","27.5","0","1.5","20.5","1.5","20.5","0","0","0","0","0","8","4.5","7","1","0","0","0","0"
"467571","0","0","0","0","0","-9998","2.5","0","0","0","0","5.1","-9998","0.6","20.5","7","14","0","0","0","0","0","0","12","0","0","0","0","0","0"
"467590","0","0","0","0","0","-9998","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","-9998","0","-9998","0","0","0","0","0"
"467610","0","0","0","0.3","0","8.9","0.4","0","0","0","20.7","0","11.4","0","1.1","0","0","0","2.8","2.5","0","0.9","53.4","0","0","0","0.6","0.5","0","0"
"467620","0","0","0","0","0","0.2","1.3","0","0","1.1","158","2","0","0","0.2","0","3.3","0.4","0","0","0.2","0.6","0","0.9","4.1","3.9","0","0","0","0"
"467650","0","0","0","0","-9998","0","2.5","0","0","0","0","7.5","3","0","12","9","17.5","0","0","0","0","0","42","14.5","-9998","0","0","0","0","0"
"467660","0","0","0","0.2","0","1.2","0","1","0","0","0.1","2","3","1","6.5","0","0","0.5","0","0.5","0","0","54","-9998","0","0.3","0.2","3.5","0","0"
"467770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8.5","4","0","0","0","0","0","0","-9998","0","0","0","0","0","0"
"467990","0","0","0","0","0","6","0","0","0","0","0","20.5","3.6","11","4.3","0.3","0","0","0","0","-9998","-9998","0.3","0.4","0","0","0","0","0","0"
"C0A520","0","0","0","0","0","2.5","4","0","0","0","0","23","0.5","0","8.5","6","15","0","0","0","0","0","0","8.5","0","0","0","0","0","0"
"C0A530","0","0","0.5","0","0","2.5","3","0","0","0","0","1.5","0","12.5","16.5","6.5","12.5","0","0","0","0","0","6","28.5","0","0","0.5","0","11.5","0"
"C0A540","0","0","0","0","0","3.5","2.5","0","1","0","0","4","0","33.5","11.5","5.5","13.5","0","0","0","0","0","9.5","40.5","0.5","0","1.5","1.5","15.5","0"
"C0A550","0","0","0","0","0","12.5","2.5","0","0","0","0","0.5","1.5","35.5","42","7","15.5","0","0","0","0","0","2","34","1.5","0","1.5","0.5","7","0.5"
"C0A560","0","1.5","0","0","0","1","7","0.5","0","0","0","0","0","2","4.5","5.5","19.5","0","0","0","0","0","7","62","0.5","0","0","0","1.5","0"
"C0A570","0","0","1.5","0.5","0","8.5","5.5","0","0","0","0","0","0.5","19","10.5","6.5","14","0","0","0","0","0","19.5","64.5","1","0","0","0","1","0"
"C0A640","0","0","5","0","0","7","3.5","0","0","0","0","8","0.5","12","7.5","3","13","0","0","0","0","0","7","64","0","0","0","0","17","0"
"C0A650","0","0","0","1","0","9","4","0","0","0","0","2","1","18","6","1.5","13.5","0","0","0","0","0","6","57.5","0.5","0","0","0","9","0"
"C0A660","0","0","0","0","0","15.5","2","0","0","0","0","0.5","0","14.5","21.5","3","15","0","0","0","0","0","0","49.5","0","0","0","0","0","0"
"C0A860","0","0","2.5","0.5","0","38.5","5","0","0","0","0","2","0","17","57","7.5","26.5","0","0","0","0","0","0","57","2.5","0","3","0","0","0"
"C0A870","0","0","0.5","0","0","16.5","5","0","0","0","0","2","0","10.5","28","8","19.5","0","0","0","0","0","0","41.5","4","0","2","0","0","0"
"C0A880","0","0","0","0","4","6.5","0.5","0","0","0","0","0","20","25.5","31.5","1.5","10.5","0","0","0","0","0","0.5","19","0","0","0","0","2","0"
